,Epochs,MAE
1,10.0,2.7925549959512272
2,20.0,2.7000586323962787
3,30.0,2.6805804303054406
4,40.0,2.763546649823014
5,50.0,2.6978678266914726
6,60.0,2.6916165861659027
7,70.0,2.683562175391232
8,80.0,2.6968174225372787
9,90.0,2.682718083296771
10,100.0,2.666973248177174
11,110.0,2.705729971631035
12,120.0,2.6643154431388014
13,130.0,2.6596159975441336
14,140.0,2.687977513368217
15,150.0,2.6876719366443087
