,Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
0,2013,4,28,0,00,350.7,2.6
1,2013,4,28,0,10,355.8,2.5
2,2013,4,28,0,20,349.8,2.5
3,2013,4,28,0,30,357.5,2.4
4,2013,4,28,0,40,2.6,2.6
5,2013,4,28,0,50,9.3,2.6
6,2013,4,28,1,00,15.2,2.6
7,2013,4,28,1,10,18.5,2.4
8,2013,4,28,1,20,13.8,2.4
9,2013,4,28,1,30,18.8,2.3
10,2013,4,28,1,40,31.4,2.2
11,2013,4,28,1,50,35.7,2.2
12,2013,4,28,2,00,42.9,2
13,2013,4,28,2,10,54.6,1.9
14,2013,4,28,2,20,56.8,2
15,2013,4,28,2,30,59.3,2.5
16,2013,4,28,2,40,67.9,2.6
17,2013,4,28,2,50,69.7,2.6
18,2013,4,28,3,00,76.2,2.8
19,2013,4,28,3,10,75.2,3.2
20,2013,4,28,3,20,75.9,3.2
21,2013,4,28,3,30,74.4,3.3
22,2013,4,28,3,40,81.8,3.9
23,2013,4,28,3,50,84.6,4.3
24,2013,4,28,4,00,81.8,4.9
25,2013,4,28,4,10,79.9,5.4
26,2013,4,28,4,20,80.9,4.8
27,2013,4,28,4,30,82.4,5.3
28,2013,4,28,4,40,81.6,5.9
29,2013,4,28,4,50,81.4,5.8
30,2013,4,28,5,00,86.6,6.1
31,2013,4,28,5,10,89.5,6.2
32,2013,4,28,5,20,90.5,6.7
33,2013,4,28,5,30,91.3,6.8
34,2013,4,28,5,40,88.7,7.2
35,2013,4,28,5,50,89.2,7.5
36,2013,4,28,6,00,93.4,7.1
37,2013,4,28,6,10,98,8
38,2013,4,28,6,20,105.8,8.1
39,2013,4,28,6,30,112.2,8
40,2013,4,28,6,40,116.5,7.7
41,2013,4,28,6,50,117.8,7.6
42,2013,4,28,7,00,120,7.2
43,2013,4,28,7,10,121,7.1
44,2013,4,28,7,20,119.7,7
45,2013,4,28,7,30,118.8,7.7
46,2013,4,28,7,40,118.1,7.9
47,2013,4,28,7,50,116,7.7
48,2013,4,28,8,00,117.2,7.6
49,2013,4,28,8,10,116.9,7.2
50,2013,4,28,8,20,117.3,7.2
51,2013,4,28,8,30,118.1,7.5
52,2013,4,28,8,40,117.8,7.2
53,2013,4,28,8,50,117.7,7
54,2013,4,28,9,00,117.1,6.9
55,2013,4,28,9,10,114.5,6.6
56,2013,4,28,9,20,113.1,6.5
57,2013,4,28,9,30,111.2,6.4
58,2013,4,28,9,40,111.1,6.5
59,2013,4,28,9,50,111.5,7
60,2013,4,28,10,00,111.8,7.3
61,2013,4,28,10,10,111.5,7
62,2013,4,28,10,20,112.1,6.7
63,2013,4,28,10,30,108.5,6.6
64,2013,4,28,10,40,108.5,6.6
65,2013,4,28,10,50,113.2,6.7
66,2013,4,28,11,00,113.4,6.5
67,2013,4,28,11,10,111.4,6.4
68,2013,4,28,11,20,113,6.2
69,2013,4,28,11,30,116.4,6.2
70,2013,4,28,11,40,118.1,6.2
71,2013,4,28,11,50,120.3,6
72,2013,4,28,12,00,120.2,5.7
73,2013,4,28,12,10,118.1,5.4
74,2013,4,28,12,20,116.4,5.2
75,2013,4,28,12,30,118.8,5.5
76,2013,4,28,12,40,121.3,5.6
77,2013,4,28,12,50,125.1,5.5
78,2013,4,28,13,00,126.6,5.8
79,2013,4,28,13,10,125.3,6.1
80,2013,4,28,13,20,124.4,6.5
81,2013,4,28,13,30,124.7,6.6
82,2013,4,28,13,40,127.1,6.4
83,2013,4,28,13,50,124.8,5.9
84,2013,4,28,14,00,122.5,5.3
85,2013,4,28,14,10,128.2,5
86,2013,4,28,14,20,129.7,4.2
87,2013,4,28,14,30,126.5,3.6
88,2013,4,28,14,40,123.7,3.6
89,2013,4,28,14,50,134.3,2.5
90,2013,4,28,15,00,139.3,2
