SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2020,1,1,0,30,298.17,10.46
2020,1,1,1,30,297.33,10.32
2020,1,1,2,30,299.79,10.41
2020,1,1,3,30,296.86,9.870000000000001
2020,1,1,4,30,296.63,9.41
2020,1,1,5,30,293.53000000000003,8.44
2020,1,1,6,30,284.02,6.74
2020,1,1,7,30,281.04,6.32
2020,1,1,8,30,279.71,5.69
2020,1,1,9,30,265.48,5.2
2020,1,1,10,30,243.96,5.3100000000000005
2020,1,1,11,30,226.26,5.18
2020,1,1,12,30,210.31,6.41
2020,1,1,13,30,204.88,7.91
2020,1,1,14,30,200.48000000000002,7.92
2020,1,1,15,30,197.18,7.04
2020,1,1,16,30,202.52,7.44
2020,1,1,17,30,207.71,9.67
2020,1,1,18,30,207.89000000000001,11.19
2020,1,1,19,30,208.14000000000001,12.77
2020,1,1,20,30,211.15,11.58
2020,1,1,21,30,211.85,12.49
2020,1,1,22,30,209.52,12.27
2020,1,1,23,30,211.93,12.5
2020,1,2,0,30,211.06,12.74
2020,1,2,1,30,216.25,12.700000000000001
2020,1,2,2,30,218.93,12.26
2020,1,2,3,30,222.84,11.790000000000001
2020,1,2,4,30,223.69,11.43
2020,1,2,5,30,223.20000000000002,10.52
2020,1,2,6,30,221.39000000000001,11.06
2020,1,2,7,30,219.43,10.72
2020,1,2,8,30,217.84,10.5
2020,1,2,9,30,218.76,10.64
2020,1,2,10,30,228.67000000000002,9.99
2020,1,2,11,30,229.52,10.56
2020,1,2,12,30,236.11,11.63
2020,1,2,13,30,245.82,11.35
2020,1,2,14,30,254.43,10.950000000000001
2020,1,2,15,30,258.03000000000003,10.35
2020,1,2,16,30,258.98,9.05
2020,1,2,17,30,254.81,8.64
2020,1,2,18,30,258.01,8.700000000000001
2020,1,2,19,30,263.91,9.02
2020,1,2,20,30,275.18,8.57
2020,1,2,21,30,277.06,10.11
2020,1,2,22,30,277.18,10.77
2020,1,2,23,30,280.31,10.71
2020,1,3,0,30,286.18,10.61
2020,1,3,1,30,281.52,9.4
2020,1,3,2,30,294.06,9.74
2020,1,3,3,30,308.53000000000003,10.35
2020,1,3,4,30,313.7,9.47
2020,1,3,5,30,310.77,9.26
2020,1,3,6,30,308.18,8.620000000000001
2020,1,3,7,30,303.73,7.96
2020,1,3,8,30,296.83,7.3100000000000005
2020,1,3,9,30,287.58,7.09
2020,1,3,10,30,292.76,6.59
2020,1,3,11,30,291.05,5.91
2020,1,3,12,30,298.84000000000003,5.8500000000000005
2020,1,3,13,30,297.5,5.39
2020,1,3,14,30,297.58,4.68
2020,1,3,15,30,304.37,3
2020,1,3,16,30,315.77,2.72
2020,1,3,17,30,300.16,3.31
2020,1,3,18,30,282.92,4.39
2020,1,3,19,30,294.03000000000003,4.76
2020,1,3,20,30,305.83,4.98
2020,1,3,21,30,309.96,4.36
2020,1,3,22,30,323.63,5.21
2020,1,3,23,30,342.92,5.73
2020,1,4,0,30,3.7600000000000002,6.34
2020,1,4,1,30,349.81,6.140000000000001
2020,1,4,2,30,354.91,6.86
2020,1,4,3,30,11.52,6.07
2020,1,4,4,30,21.04,5.98
2020,1,4,5,30,1.6300000000000001,5.87
2020,1,4,6,30,0.62,6.32
2020,1,4,7,30,359.41,6.83
2020,1,4,8,30,0.01,7.05
2020,1,4,9,30,351.96,7.21
2020,1,4,10,30,342.57,8.96
2020,1,4,11,30,338.93,9.32
2020,1,4,12,30,336.22,8.2
2020,1,4,13,30,333.48,8.55
2020,1,4,14,30,325.47,8.22
2020,1,4,15,30,326.79,6.58
2020,1,4,16,30,317.82,4.8
2020,1,4,17,30,304,6.38
2020,1,4,18,30,296.71,6.7700000000000005
2020,1,4,19,30,302.90000000000003,7.23
2020,1,4,20,30,302.36,7.54
2020,1,4,21,30,298.77,7.04
2020,1,4,22,30,294.55,8.4
2020,1,4,23,30,297.97,8.84
2020,1,5,0,30,292.05,7.96
2020,1,5,1,30,282.37,7.3100000000000005
2020,1,5,2,30,271.68,7.11
2020,1,5,3,30,280.92,6.7
2020,1,5,4,30,266.98,5.48
2020,1,5,5,30,247.36,5.04
2020,1,5,6,30,223.27,5.82
2020,1,5,7,30,213.55,7.04
2020,1,5,8,30,197.52,7.34
2020,1,5,9,30,191.38,7.79
2020,1,5,10,30,181.31,8.64
2020,1,5,11,30,175.62,8.620000000000001
2020,1,5,12,30,174.84,9.49
2020,1,5,13,30,177.03,9.92
2020,1,5,14,30,180.26,10.26
2020,1,5,15,30,196.12,10.01
2020,1,5,16,30,208.46,8.9
2020,1,5,17,30,227.09,7.19
2020,1,5,18,30,257.87,8.120000000000001
2020,1,5,19,30,278.59000000000003,9.99
2020,1,5,20,30,288.40000000000003,12.23
2020,1,5,21,30,292.05,15.52
2020,1,5,22,30,294.84000000000003,16.98
2020,1,5,23,30,304.62,19.53
2020,1,6,0,30,298.05,17.93
2020,1,6,1,30,298.39,18.98
2020,1,6,2,30,300.1,18.13
2020,1,6,3,30,297.67,17.830000000000002
2020,1,6,4,30,293.54,18.490000000000002
2020,1,6,5,30,293.66,18.67
2020,1,6,6,30,293.12,17.84
2020,1,6,7,30,290.8,17.09
2020,1,6,8,30,288.02,15.93
2020,1,6,9,30,283.89,15.040000000000001
2020,1,6,10,30,278.59000000000003,15.120000000000001
2020,1,6,11,30,276.26,16.22
2020,1,6,12,30,279.95,16.86
2020,1,6,13,30,283.64,16.82
2020,1,6,14,30,286.83,15.82
2020,1,6,15,30,293.56,13.36
2020,1,6,16,30,293.98,9.76
2020,1,6,17,30,282.94,8.13
2020,1,6,18,30,280.51,8.09
2020,1,6,19,30,270.61,7.97
2020,1,6,20,30,266.57,8.39
2020,1,6,21,30,263.82,8.32
2020,1,6,22,30,263.05,8.950000000000001
2020,1,6,23,30,256.07,9.67
