SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2000,1,1,0,30,191.12,9.38
2000,1,1,1,30,186.27,10
2000,1,1,2,30,195.6,13.01
2000,1,1,3,30,201.59,14.26
2000,1,1,4,30,207.83,14.57
2000,1,1,5,30,213.99,15.71
2000,1,1,6,30,221.9,15.18
2000,1,1,7,30,232.14000000000001,14.8
2000,1,1,8,30,241.34,13.86
2000,1,1,9,30,251.68,12.44
2000,1,1,10,30,265.61,12.26
2000,1,1,11,30,280.56,11.27
2000,1,1,12,30,295.04,11.15
2000,1,1,13,30,314.87,9.74
2000,1,1,14,30,335.82,8.45
2000,1,1,15,30,1.2,5.22
2000,1,1,16,30,25.36,4.45
2000,1,1,17,30,38.7,4.55
2000,1,1,18,30,55.43,4.79
2000,1,1,19,30,67.66,5.15
2000,1,1,20,30,70.79,5.13
2000,1,1,21,30,73.5,6.23
2000,1,1,22,30,85.33,7.44
2000,1,1,23,30,85.09,9.36
2000,1,2,0,30,86.09,9.540000000000001
2000,1,2,1,30,89.32000000000001,9.700000000000001
2000,1,2,2,30,87.21000000000001,9.55
2000,1,2,3,30,92.68,8.69
2000,1,2,4,30,93.03,8.44
2000,1,2,5,30,82.97,9.77
2000,1,2,6,30,88.04,8.58
2000,1,2,7,30,79.62,10.21
2000,1,2,8,30,79.19,10.02
2000,1,2,9,30,78.18,11.700000000000001
2000,1,2,10,30,83.78,10.07
2000,1,2,11,30,75.87,7.54
2000,1,2,12,30,78.99,7.92
2000,1,2,13,30,73.22,9.58
2000,1,2,14,30,70.78,9.17
2000,1,2,15,30,66.76,7.91
2000,1,2,16,30,64.51,9.18
2000,1,2,17,30,55.64,7.11
2000,1,2,18,30,7.28,10.17
2000,1,2,19,30,7.22,13.38
2000,1,2,20,30,21.37,13.27
2000,1,2,21,30,14.780000000000001,13.67
2000,1,2,22,30,21.04,13.63
2000,1,2,23,30,20.18,11.290000000000001
2000,1,3,0,30,16.41,11.22
2000,1,3,1,30,16.63,10.63
2000,1,3,2,30,15.370000000000001,11.63
2000,1,3,3,30,21.19,12.51
2000,1,3,4,30,24.19,11.450000000000001
2000,1,3,5,30,31.09,10.98
2000,1,3,6,30,37.21,9.85
2000,1,3,7,30,39.83,8.98
2000,1,3,8,30,41.17,9.200000000000001
2000,1,3,9,30,42.44,9.040000000000001
2000,1,3,10,30,47.71,9.26
2000,1,3,11,30,58.050000000000004,9.5
2000,1,3,12,30,57.15,10.07
2000,1,3,13,30,50.45,11.4
2000,1,3,14,30,51.29,11.67
2000,1,3,15,30,56.74,10.92
2000,1,3,16,30,61.43,11.09
2000,1,3,17,30,65.06,11.040000000000001
2000,1,3,18,30,63.42,12.49
2000,1,3,19,30,60.74,12.73
2000,1,3,20,30,63.620000000000005,12.94
2000,1,3,21,30,59.730000000000004,13.780000000000001
2000,1,3,22,30,60.730000000000004,13.41
2000,1,3,23,30,54.81,13.91
2000,1,4,0,30,40.06,13.55
2000,1,4,1,30,42.17,13.700000000000001
2000,1,4,2,30,39.17,12.370000000000001
2000,1,4,3,30,31.16,11.74
2000,1,4,4,30,21.400000000000002,12.31
2000,1,4,5,30,12.83,13.950000000000001
2000,1,4,6,30,3.93,14.31
2000,1,4,7,30,6.5600000000000005,13.92
2000,1,4,8,30,358.24,12.25
2000,1,4,9,30,358.45,12.84
2000,1,4,10,30,351.79,12.85
2000,1,4,11,30,350.06,13.98
2000,1,4,12,30,337.67,13.65
2000,1,4,13,30,338.07,14.14
2000,1,4,14,30,340.66,14.08
2000,1,4,15,30,337.58,12.15
2000,1,4,16,30,334.16,11.1
2000,1,4,17,30,332.51,11.1
2000,1,4,18,30,328.99,9.52
2000,1,4,19,30,327.81,9.13
2000,1,4,20,30,324.90000000000003,9.56
2000,1,4,21,30,325.75,9.15
2000,1,4,22,30,321.95,8.03
2000,1,4,23,30,314.74,9.620000000000001
2000,1,5,0,30,324.36,9.91
2000,1,5,1,30,326,9.450000000000001
2000,1,5,2,30,328.03000000000003,9.370000000000001
2000,1,5,3,30,332.99,9.25
2000,1,5,4,30,341.34000000000003,8.76
2000,1,5,5,30,345.66,7.8
2000,1,5,6,30,342.09000000000003,5.95
2000,1,5,7,30,326.67,3.97
2000,1,5,8,30,300.85,2.52
2000,1,5,9,30,255.47,2.5
2000,1,5,10,30,221.59,3.13
2000,1,5,11,30,212.16,4.16
2000,1,5,12,30,194.18,5.22
2000,1,5,13,30,180.1,5.74
2000,1,5,14,30,172.89000000000001,5.95
2000,1,5,15,30,176.78,6.55
2000,1,5,16,30,181.75,7.17
2000,1,5,17,30,185.3,7.7
2000,1,5,18,30,182.97,8.14
2000,1,5,19,30,177.35,9.11
2000,1,5,20,30,178.36,9.65
2000,1,5,21,30,172.86,10.68
2000,1,5,22,30,173.19,13.43
2000,1,5,23,30,178.78,14.15
2000,1,6,0,30,194.88,11.44
2000,1,6,1,30,196.07,13.48
2000,1,6,2,30,196.1,13.91
2000,1,6,3,30,197.74,14.81
2000,1,6,4,30,199.20000000000002,15
2000,1,6,5,30,203.68,15.41
2000,1,6,6,30,211.20000000000002,15.5
2000,1,6,7,30,213.4,14.76
2000,1,6,8,30,223.38,13.93
2000,1,6,9,30,233.88,12.58
2000,1,6,10,30,247.22,11.72
2000,1,6,11,30,269.05,12.06
2000,1,6,12,30,281.68,12.36
2000,1,6,13,30,279.64,11.120000000000001
2000,1,6,14,30,272.27,9.69
2000,1,6,15,30,271.37,8.89
2000,1,6,16,30,269.59000000000003,8.72
2000,1,6,17,30,267.5,9.41
2000,1,6,18,30,266.88,10.6
2000,1,6,19,30,271.69,9.57
2000,1,6,20,30,271.57,10.76
2000,1,6,21,30,278.01,11.13
2000,1,6,22,30,275.54,14.200000000000001
2000,1,6,23,30,282,11.22
2000,1,7,0,30,282.02,12.27
2000,1,7,1,30,283.68,11.13
2000,1,7,2,30,280.86,9.41
2000,1,7,3,30,293.02,9.07
2000,1,7,4,30,295.07,9.71
2000,1,7,5,30,295.22,9.36
2000,1,7,6,30,293.34000000000003,9.700000000000001
2000,1,7,7,30,295.79,9.92
2000,1,7,8,30,301.29,11.01
2000,1,7,9,30,301.55,10.74
2000,1,7,10,30,303.90000000000003,10.870000000000001
2000,1,7,11,30,305.12,10.1
2000,1,7,12,30,309.05,9.44
2000,1,7,13,30,306.31,9.540000000000001
2000,1,7,14,30,307.41,8.96
2000,1,7,15,30,304.75,7.21
2000,1,7,16,30,292.09000000000003,5.46
2000,1,7,17,30,262.08,4.82
2000,1,7,18,30,247.75,4.33
2000,1,7,19,30,254.09,4.69
2000,1,7,20,30,240.67000000000002,4.21
2000,1,7,21,30,216.96,4.3500000000000005
2000,1,7,22,30,196.82,5.8
2000,1,7,23,30,189.82,7.36
2000,1,8,0,30,190.96,8.950000000000001
2000,1,8,1,30,190.68,9.46
2000,1,8,2,30,194.45000000000002,10.41
2000,1,8,3,30,193.55,10.4
2000,1,8,4,30,192.94,10.99
2000,1,8,5,30,197.57,11.05
2000,1,8,6,30,208.4,12.700000000000001
2000,1,8,7,30,216.38,14.86
2000,1,8,8,30,222.43,14.43
2000,1,8,9,30,227.86,13.85
2000,1,8,10,30,234.57,13.27
2000,1,8,11,30,238.77,13.15
2000,1,8,12,30,242.33,13.05
2000,1,8,13,30,245.77,12.74
2000,1,8,14,30,248.26000000000002,12.280000000000001
2000,1,8,15,30,250.70000000000002,11.46
2000,1,8,16,30,255.57,9.26
2000,1,8,17,30,258.9,8.540000000000001
2000,1,8,18,30,255.77,8.3
2000,1,8,19,30,250.42000000000002,8.09
2000,1,8,20,30,247.89000000000001,8.39
2000,1,8,21,30,247.08,9.44
2000,1,8,22,30,249.97,9.89
2000,1,8,23,30,251.63,9.98
2000,1,9,0,30,257.03000000000003,9.85
2000,1,9,1,30,258.58,10.01
2000,1,9,2,30,259.16,9.290000000000001
2000,1,9,3,30,262.72,8.42
2000,1,9,4,30,265.14,6.22
2000,1,9,5,30,270.74,5.37
2000,1,9,6,30,285.47,5.38
2000,1,9,7,30,299.18,4.03
2000,1,9,8,30,334.69,2.25
2000,1,9,9,30,52.49,1.51
2000,1,9,10,30,63.49,1.49
2000,1,9,11,30,70.21000000000001,2.22
2000,1,9,12,30,117.73,2.95
2000,1,9,13,30,114.71000000000001,3.52
2000,1,9,14,30,108.91,3.73
2000,1,9,15,30,121.59,3.17
2000,1,9,16,30,109.10000000000001,2.68
2000,1,9,17,30,107.55,2.19
2000,1,9,18,30,117.94,2.61
2000,1,9,19,30,111.76,3.3000000000000003
2000,1,9,20,30,116.85000000000001,3.7800000000000002
2000,1,9,21,30,108.11,4.76
2000,1,9,22,30,121.86,6.13
2000,1,9,23,30,130.08,7.22
2000,1,10,0,30,137.65,7.76
2000,1,10,1,30,145.61,7.51
2000,1,10,2,30,147.54,6.890000000000001
2000,1,10,3,30,151.85,7.0200000000000005
2000,1,10,4,30,155.01,7.28
2000,1,10,5,30,156.05,7.79
2000,1,10,6,30,154.36,7.9
2000,1,10,7,30,154.43,7.58
2000,1,10,8,30,150.47,7.45
2000,1,10,9,30,152.14000000000001,7.5
2000,1,10,10,30,153.56,6.9
2000,1,10,11,30,151.82,6.23
2000,1,10,12,30,163.78,5.16
2000,1,10,13,30,211.92000000000002,3.5300000000000002
2000,1,10,14,30,241.31,5.47
2000,1,10,15,30,265.93,8.59
2000,1,10,16,30,280.01,10.22
2000,1,10,17,30,278.89,10.3
2000,1,10,18,30,280.43,10.97
2000,1,10,19,30,278.44,13.51
2000,1,10,20,30,277.05,16.09
2000,1,10,21,30,273.88,14.99
2000,1,10,22,30,275.49,12.89
2000,1,10,23,30,268.24,12.290000000000001
2000,1,11,0,30,265.79,10.68
2000,1,11,1,30,272.17,12.08
2000,1,11,2,30,281.04,11.15
2000,1,11,3,30,274.14,10.65
2000,1,11,4,30,276.14,9.76
2000,1,11,5,30,277.47,9.49
2000,1,11,6,30,286.7,9.56
2000,1,11,7,30,298.29,9.15
2000,1,11,8,30,300.52,9.92
2000,1,11,9,30,303.84000000000003,12.18
2000,1,11,10,30,306.47,13.85
2000,1,11,11,30,313.52,14.63
2000,1,11,12,30,315.64,16.65
2000,1,11,13,30,311.1,16.53
2000,1,11,14,30,306.92,13.66
2000,1,11,15,30,304.34000000000003,12.99
2000,1,11,16,30,298.7,12.85
2000,1,11,17,30,302.42,13.14
2000,1,11,18,30,298.62,13.43
2000,1,11,19,30,293.84000000000003,12.32
2000,1,11,20,30,295.66,9.68
2000,1,11,21,30,295.5,11.26
2000,1,11,22,30,296.35,11.26
2000,1,11,23,30,296.67,11.84
2000,1,12,0,30,291.41,10.65
2000,1,12,1,30,297.5,8.72
2000,1,12,2,30,304.11,7.8100000000000005
2000,1,12,3,30,305.38,5.7700000000000005
2000,1,12,4,30,295.49,4.44
2000,1,12,5,30,295.59000000000003,3.9
2000,1,12,6,30,306.41,2.98
2000,1,12,7,30,320.5,3.0500000000000003
2000,1,12,8,30,324.93,3.5700000000000003
2000,1,12,9,30,339.43,3.27
2000,1,12,10,30,15.85,2.84
2000,1,12,11,30,25.150000000000002,3.2
2000,1,12,12,30,27.400000000000002,1.78
2000,1,12,13,30,10.49,2.7600000000000002
2000,1,12,14,30,47.58,2.84
2000,1,12,15,30,55.27,4.8
2000,1,12,16,30,56.83,5.37
2000,1,12,17,30,63.54,5.2
2000,1,12,18,30,78.43,5.23
2000,1,12,19,30,87.15,5.5200000000000005
2000,1,12,20,30,76.35000000000001,6.16
2000,1,12,21,30,71.91,5.7700000000000005
2000,1,12,22,30,60.94,6.5
2000,1,12,23,30,55.61,8.5
2000,1,13,0,30,52.2,9.81
2000,1,13,1,30,52.99,10.790000000000001
2000,1,13,2,30,51.79,10.93
2000,1,13,3,30,44.18,10.53
2000,1,13,4,30,40.6,10.21
2000,1,13,5,30,36.5,9.89
2000,1,13,6,30,31.39,9.55
2000,1,13,7,30,25.3,9.91
2000,1,13,8,30,21.77,11.06
2000,1,13,9,30,21.56,11.19
2000,1,13,10,30,18.41,10.65
2000,1,13,11,30,17.46,9.55
2000,1,13,12,30,17.38,8.59
2000,1,13,13,30,16.41,8.4
2000,1,13,14,30,7.63,8.78
2000,1,13,15,30,357.19,7.26
2000,1,13,16,30,3.5500000000000003,5.01
2000,1,13,17,30,2.98,4.03
2000,1,13,18,30,339.59000000000003,3.86
2000,1,13,19,30,326.44,4.76
2000,1,13,20,30,329.56,4.75
2000,1,13,21,30,336.54,5.44
2000,1,13,22,30,321.72,5.3
2000,1,13,23,30,314.37,5.0600000000000005
2000,1,14,0,30,285.37,6.24
2000,1,14,1,30,278.19,6.8500000000000005
2000,1,14,2,30,290.64,8.49
2000,1,14,3,30,290.55,8.040000000000001
2000,1,14,4,30,294.85,9.39
2000,1,14,5,30,304.03000000000003,8.11
2000,1,14,6,30,310.59000000000003,8.06
2000,1,14,7,30,312.47,6.140000000000001
2000,1,14,8,30,303.79,5.24
2000,1,14,9,30,284.49,6.37
2000,1,14,10,30,281.81,6.84
2000,1,14,11,30,286.95,5.3100000000000005
2000,1,14,12,30,273.24,4.88
2000,1,14,13,30,259.06,4.73
2000,1,14,14,30,241.15,3.87
2000,1,14,15,30,222.93,2.94
2000,1,14,16,30,212.96,3.75
2000,1,14,17,30,204.14000000000001,4.41
2000,1,14,18,30,187.15,4.57
2000,1,14,19,30,166.34,5.58
2000,1,14,20,30,175.19,5.79
2000,1,14,21,30,174.70000000000002,6.7
2000,1,14,22,30,171.08,6.65
2000,1,14,23,30,174.52,8.1
2000,1,15,0,30,183.08,9.81
2000,1,15,1,30,182.89000000000001,10.21
2000,1,15,2,30,184.76,10.46
2000,1,15,3,30,186.56,11.66
2000,1,15,4,30,189.85,11.32
2000,1,15,5,30,194.84,11.68
2000,1,15,6,30,198.56,11.56
2000,1,15,7,30,202.56,10.72
2000,1,15,8,30,204.92000000000002,9.69
2000,1,15,9,30,207.41,8.78
2000,1,15,10,30,208.4,7.86
2000,1,15,11,30,203.13,7.47
2000,1,15,12,30,208.43,7.55
2000,1,15,13,30,216.94,6.49
2000,1,15,14,30,207.82,5.11
