SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2013,1,1,0,30,327.81,10.42
2013,1,1,1,30,332.57,10.290000000000001
2013,1,1,2,30,335.6,10.35
2013,1,1,3,30,337.13,10.25
2013,1,1,4,30,335,10.21
2013,1,1,5,30,330.63,10.08
2013,1,1,6,30,325.97,10.15
2013,1,1,7,30,321.56,10.19
2013,1,1,8,30,323.33,10.24
2013,1,1,9,30,323.58,10.24
2013,1,1,10,30,327,10.13
2013,1,1,11,30,327.67,9.88
2013,1,1,12,30,323.53000000000003,9.34
2013,1,1,13,30,319.40000000000003,9.13
2013,1,1,14,30,314.94,8.59
2013,1,1,15,30,305.42,6.48
2013,1,1,16,30,295.92,5.8
2013,1,1,17,30,290.27,6.22
2013,1,1,18,30,286.39,6.67
2013,1,1,19,30,279.06,7.03
2013,1,1,20,30,274.72,7.3500000000000005
2013,1,1,21,30,273.67,7.86
2013,1,1,22,30,271.89,10.09
2013,1,1,23,30,276.15000000000003,11.84
2013,1,2,0,30,274.75,10.8
2013,1,2,1,30,277.23,11.5
2013,1,2,2,30,275.42,10.93
2013,1,2,3,30,272.21,10.38
2013,1,2,4,30,270.19,10.1
2013,1,2,5,30,266.68,9.92
2013,1,2,6,30,267.05,10.58
2013,1,2,7,30,270.41,10.59
2013,1,2,8,30,272.17,10.28
2013,1,2,9,30,270.03000000000003,9.15
2013,1,2,10,30,262.72,7.76
2013,1,2,11,30,247.8,6.18
2013,1,2,12,30,235.1,6.04
2013,1,2,13,30,230.38,6.33
2013,1,2,14,30,227.5,6.7
2013,1,2,15,30,226.93,5.21
2013,1,2,16,30,222.6,4.17
2013,1,2,17,30,211.62,4.11
2013,1,2,18,30,214.71,4.14
2013,1,2,19,30,206.06,4.3500000000000005
2013,1,2,20,30,202.85,4.88
2013,1,2,21,30,199.89000000000001,4.8
2013,1,2,22,30,194.38,4.54
2013,1,2,23,30,204.03,5.34
2013,1,3,0,30,214.57,7.07
2013,1,3,1,30,219.79,7.11
2013,1,3,2,30,227.5,6.890000000000001
2013,1,3,3,30,233.35,6.69
2013,1,3,4,30,254.73000000000002,7.24
2013,1,3,5,30,271.02,6.33
2013,1,3,6,30,280.66,5.44
2013,1,3,7,30,289.28000000000003,5.99
2013,1,3,8,30,292.89,6.75
2013,1,3,9,30,298.84000000000003,6.640000000000001
2013,1,3,10,30,298.88,7.29
2013,1,3,11,30,300.74,9.59
2013,1,3,12,30,305.67,9.03
2013,1,3,13,30,304,9.6
2013,1,3,14,30,301.09000000000003,10.28
2013,1,3,15,30,306.31,9.540000000000001
2013,1,3,16,30,304.33,7.87
2013,1,3,17,30,299.48,7.72
2013,1,3,18,30,294.13,8.11
2013,1,3,19,30,297.36,9.120000000000001
2013,1,3,20,30,297.82,8.76
2013,1,3,21,30,291.23,9.34
2013,1,3,22,30,285.35,10.66
2013,1,3,23,30,283.55,11.46
2013,1,4,0,30,276.63,11.42
2013,1,4,1,30,279.25,13.72
2013,1,4,2,30,275.61,13.74
2013,1,4,3,30,270.53000000000003,14.370000000000001
2013,1,4,4,30,264.72,14.21
2013,1,4,5,30,262.15,14.33
2013,1,4,6,30,263.28000000000003,14.31
2013,1,4,7,30,262.11,15.44
2013,1,4,8,30,265.56,18.080000000000002
2013,1,4,9,30,269.52,17.66
2013,1,4,10,30,267.94,15.91
2013,1,4,11,30,266.32,15.02
2013,1,4,12,30,268.59000000000003,14.620000000000001
2013,1,4,13,30,268.3,13.65
2013,1,4,14,30,268.95,13.75
2013,1,4,15,30,275.12,13.41
2013,1,4,16,30,280.52,12.3
2013,1,4,17,30,279.49,11.9
2013,1,4,18,30,277.32,11.65
2013,1,4,19,30,277.33,12.11
2013,1,4,20,30,278.92,11.26
2013,1,4,21,30,278.59000000000003,12.06
2013,1,4,22,30,278.03000000000003,11.92
2013,1,4,23,30,279.59000000000003,12.290000000000001
2013,1,5,0,30,283.59000000000003,12.36
2013,1,5,1,30,289.2,12.25
2013,1,5,2,30,294.87,11.26
2013,1,5,3,30,303.44,10.13
2013,1,5,4,30,313.52,8.42
2013,1,5,5,30,322.90000000000003,6.78
2013,1,5,6,30,328.49,5.5
2013,1,5,7,30,317.65000000000003,4.15
2013,1,5,8,30,338.24,2.49
2013,1,5,9,30,27.400000000000002,1.93
2013,1,5,10,30,142.18,2.3000000000000003
2013,1,5,11,30,141.77,3
2013,1,5,12,30,133.52,2.63
2013,1,5,13,30,132.35,3.38
2013,1,5,14,30,171.34,5.18
2013,1,5,15,30,174.5,4.38
2013,1,5,16,30,177.29,3
2013,1,5,17,30,192.57,4.1
2013,1,5,18,30,204.32,5.48
2013,1,5,19,30,205.39000000000001,5.41
2013,1,5,20,30,206.69,6.22
2013,1,5,21,30,200.65,7.91
2013,1,5,22,30,222.74,8.6
2013,1,5,23,30,225.24,9.71
2013,1,6,0,30,226.19,9.73
2013,1,6,1,30,232.26,9.11
2013,1,6,2,30,243.62,8.23
2013,1,6,3,30,256.76,7.390000000000001
2013,1,6,4,30,277.57,7.43
2013,1,6,5,30,293,7.34
2013,1,6,6,30,299.33,6.88
2013,1,6,7,30,296.97,7.53
2013,1,6,8,30,308.35,8.91
2013,1,6,9,30,313.78000000000003,10.950000000000001
2013,1,6,10,30,334.02,12.11
2013,1,6,11,30,334.25,11.700000000000001
2013,1,6,12,30,328.89,12.01
2013,1,6,13,30,333.85,12.41
2013,1,6,14,30,335.69,11.78
2013,1,6,15,30,340.54,10.700000000000001
2013,1,6,16,30,341.62,8.64
2013,1,6,17,30,336.52,7.75
2013,1,6,18,30,329.02,7.28
2013,1,6,19,30,323.45,5.84
2013,1,6,20,30,314.99,5.44
2013,1,6,21,30,309.31,7.1000000000000005
2013,1,6,22,30,292.53000000000003,8.48
2013,1,6,23,30,288.76,8.09
2013,1,7,0,30,290.77,7.32
2013,1,7,1,30,290.94,6.93
2013,1,7,2,30,273.38,5.84
2013,1,7,3,30,263.89,6.63
2013,1,7,4,30,253.08,7.05
2013,1,7,5,30,239.88,7.72
2013,1,7,6,30,215.88,7.97
2013,1,7,7,30,207.9,10.200000000000001
2013,1,7,8,30,206.77,12.09
2013,1,7,9,30,204.25,12.16
2013,1,7,10,30,205.22,12.98
2013,1,7,11,30,206.91,15.89
2013,1,7,12,30,207.04,17.66
2013,1,7,13,30,205.54,17.55
2013,1,7,14,30,208.43,16.23
2013,1,7,15,30,214.96,16.67
2013,1,7,16,30,220.56,15.84
2013,1,7,17,30,224.55,14.56
2013,1,7,18,30,230.41,13.4
