SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2008,1,1,0,30,325.98,6.7
2008,1,1,1,30,324.19,8.21
2008,1,1,2,30,326.67,8.74
2008,1,1,3,30,338.52,10.35
2008,1,1,4,30,333.53000000000003,10.39
2008,1,1,5,30,324.97,10.73
2008,1,1,6,30,325.32,12.89
2008,1,1,7,30,328.44,13.11
2008,1,1,8,30,324.85,12.69
2008,1,1,9,30,320.06,12.77
2008,1,1,10,30,317.36,13.450000000000001
2008,1,1,11,30,315.31,14.13
2008,1,1,12,30,313.99,13.99
2008,1,1,13,30,310.66,14.280000000000001
2008,1,1,14,30,310.77,14.55
2008,1,1,15,30,315,12.950000000000001
2008,1,1,16,30,311.82,11.97
2008,1,1,17,30,307.41,11.88
2008,1,1,18,30,301.93,11.91
2008,1,1,19,30,300.41,12.89
2008,1,1,20,30,300.21,13.35
2008,1,1,21,30,299.12,14.790000000000001
2008,1,1,22,30,298.78000000000003,15.610000000000001
2008,1,1,23,30,299.19,14.94
2008,1,2,0,30,301.32,13.84
2008,1,2,1,30,316.98,12.780000000000001
2008,1,2,2,30,338.83,13.17
2008,1,2,3,30,342.97,13.46
2008,1,2,4,30,348.15000000000003,13.33
2008,1,2,5,30,348.11,13.23
2008,1,2,6,30,349.69,13.31
2008,1,2,7,30,351.74,12.81
2008,1,2,8,30,350.07,11.88
2008,1,2,9,30,347.98,12.58
2008,1,2,10,30,345.54,11.52
2008,1,2,11,30,345.43,11.040000000000001
2008,1,2,12,30,341.2,10.9
2008,1,2,13,30,333.68,10.88
2008,1,2,14,30,333.48,10.06
2008,1,2,15,30,330.68,8.11
2008,1,2,16,30,326.25,6.45
2008,1,2,17,30,317.65000000000003,6.97
2008,1,2,18,30,313.21,6.96
2008,1,2,19,30,311.44,6.94
2008,1,2,20,30,308.98,7.3500000000000005
2008,1,2,21,30,296.19,7.42
2008,1,2,22,30,291.25,10.03
2008,1,2,23,30,295.77,10.74
2008,1,3,0,30,300.34000000000003,10.49
2008,1,3,1,30,301.56,9.86
2008,1,3,2,30,302.56,8.790000000000001
2008,1,3,3,30,303.52,8.14
2008,1,3,4,30,298.96,7.5
2008,1,3,5,30,297.11,7.32
2008,1,3,6,30,290.12,7.5200000000000005
2008,1,3,7,30,285.26,6.88
2008,1,3,8,30,267.66,6.47
2008,1,3,9,30,243.83,5.33
2008,1,3,10,30,218.28,6.95
2008,1,3,11,30,211.65,8.93
2008,1,3,12,30,212.36,10.28
2008,1,3,13,30,206.68,11.120000000000001
2008,1,3,14,30,208.43,10.700000000000001
2008,1,3,15,30,210.81,11.790000000000001
2008,1,3,16,30,207.59,12.13
2008,1,3,17,30,206.73000000000002,12.780000000000001
2008,1,3,18,30,207.09,13.64
2008,1,3,19,30,209.58,14.31
2008,1,3,20,30,213.15,15.22
2008,1,3,21,30,213.77,16.93
2008,1,3,22,30,216.88,16.53
2008,1,3,23,30,220.09,14.67
2008,1,4,0,30,221.08,13.94
2008,1,4,1,30,220.34,14.16
2008,1,4,2,30,220.13,13.8
2008,1,4,3,30,220.36,13.65
2008,1,4,4,30,220.67000000000002,13.27
2008,1,4,5,30,222.38,13.05
2008,1,4,6,30,223.89000000000001,12.47
2008,1,4,7,30,225.08,12.23
2008,1,4,8,30,225.38,11.950000000000001
2008,1,4,9,30,225.5,11.81
2008,1,4,10,30,225.51,11.83
2008,1,4,11,30,225.3,11.56
2008,1,4,12,30,223.3,11.41
2008,1,4,13,30,220.73000000000002,10.71
2008,1,4,14,30,218.83,10.48
2008,1,4,15,30,219.93,10.51
2008,1,4,16,30,222.05,8.64
2008,1,4,17,30,224.42000000000002,7.43
2008,1,4,18,30,219.56,7.0600000000000005
2008,1,4,19,30,209.43,7.15
2008,1,4,20,30,200.3,7.5200000000000005
2008,1,4,21,30,194.77,8.57
2008,1,4,22,30,194.19,10.6
2008,1,4,23,30,192.34,11.61
