SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2016,1,1,0,30,260.85,11.19
2016,1,1,1,30,256.35,10.28
2016,1,1,2,30,261.19,10.73
2016,1,1,3,30,268.21,10.76
2016,1,1,4,30,271.72,11.72
2016,1,1,5,30,273.47,11.57
2016,1,1,6,30,278.90000000000003,11.620000000000001
2016,1,1,7,30,280.8,12.43
2016,1,1,8,30,282.52,13.4
2016,1,1,9,30,283.01,12.21
2016,1,1,10,30,282.81,11.58
2016,1,1,11,30,283.14,11.6
2016,1,1,12,30,282.91,11.57
2016,1,1,13,30,279.91,11.31
2016,1,1,14,30,275.96,10.88
2016,1,1,15,30,268.34000000000003,9.35
2016,1,1,16,30,257.59000000000003,7.83
2016,1,1,17,30,242.95000000000002,8.05
2016,1,1,18,30,240.62,8.58
2016,1,1,19,30,251.97,8.3
2016,1,1,20,30,250.4,8.61
2016,1,1,21,30,252.35,8.49
2016,1,1,22,30,265.55,10.06
2016,1,1,23,30,272.3,9.6
2016,1,2,0,30,278.28000000000003,9.91
2016,1,2,1,30,281.6,10.21
2016,1,2,2,30,291.89,10.39
2016,1,2,3,30,294.03000000000003,10.6
2016,1,2,4,30,294.28000000000003,11.11
2016,1,2,5,30,296.41,11.03
2016,1,2,6,30,296.59000000000003,10.41
2016,1,2,7,30,294.09000000000003,10.49
2016,1,2,8,30,290,10.57
2016,1,2,9,30,286.44,9.700000000000001
2016,1,2,10,30,283.37,9.35
2016,1,2,11,30,280.69,9.370000000000001
2016,1,2,12,30,282.06,10.17
2016,1,2,13,30,279.45,10.57
2016,1,2,14,30,274.40000000000003,10.39
2016,1,2,15,30,274.36,10.32
2016,1,2,16,30,266.43,9.57
2016,1,2,17,30,259.78000000000003,9.51
2016,1,2,18,30,256.57,10.71
2016,1,2,19,30,253.52,11.26
2016,1,2,20,30,255.34,12.91
2016,1,2,21,30,265.65,12.57
2016,1,2,22,30,277.86,14.950000000000001
2016,1,2,23,30,283.69,14.11
2016,1,3,0,30,288.78000000000003,12.64
2016,1,3,1,30,293.53000000000003,12.93
2016,1,3,2,30,301.3,11.68
2016,1,3,3,30,303.92,9.32
2016,1,3,4,30,307.29,8.75
2016,1,3,5,30,308.86,10.120000000000001
2016,1,3,6,30,314.48,10.6
2016,1,3,7,30,321.95,10
2016,1,3,8,30,331.77,8.72
2016,1,3,9,30,333.19,8.8
2016,1,3,10,30,334.43,9.69
2016,1,3,11,30,330.36,10.07
2016,1,3,12,30,329.76,10.31
2016,1,3,13,30,328.1,10.26
2016,1,3,14,30,328.07,9.88
2016,1,3,15,30,329.64,7.94
2016,1,3,16,30,334.53000000000003,6.140000000000001
2016,1,3,17,30,324.84000000000003,5.8100000000000005
2016,1,3,18,30,315.07,6.18
2016,1,3,19,30,306.34000000000003,6.26
2016,1,3,20,30,305.43,7.66
2016,1,3,21,30,305.53000000000003,8.75
2016,1,3,22,30,295.22,9.14
2016,1,3,23,30,298.36,10.25
2016,1,4,0,30,304.93,10.36
2016,1,4,1,30,305.37,10.18
2016,1,4,2,30,305.32,11.65
2016,1,4,3,30,300.96,12.540000000000001
2016,1,4,4,30,305.43,12.46
2016,1,4,5,30,325.41,12.41
2016,1,4,6,30,351.88,11.790000000000001
2016,1,4,7,30,352.37,12.15
2016,1,4,8,30,356.8,11.75
2016,1,4,9,30,357.69,12.09
2016,1,4,10,30,5.53,10.98
2016,1,4,11,30,11.88,10.42
2016,1,4,12,30,22.6,11.64
2016,1,4,13,30,25.21,11.88
2016,1,4,14,30,30.61,10.64
2016,1,4,15,30,39.37,7.96
2016,1,4,16,30,45.78,5.22
2016,1,4,17,30,61.1,3.45
2016,1,4,18,30,67.77,3.0300000000000002
2016,1,4,19,30,72.62,2.16
2016,1,4,20,30,48.33,1.6
2016,1,4,21,30,48.47,0.87
2016,1,4,22,30,186.56,0.08
2016,1,4,23,30,142.24,0.5700000000000001
2016,1,5,0,30,138.94,1.3
2016,1,5,1,30,151.58,2.0300000000000002
2016,1,5,2,30,152.15,3.22
2016,1,5,3,30,163.54,4.64
2016,1,5,4,30,172.37,5.66
2016,1,5,5,30,177.61,7.88
2016,1,5,6,30,182.59,8.9
2016,1,5,7,30,191.56,10.17
2016,1,5,8,30,198.49,11.24
2016,1,5,9,30,203.23000000000002,11.48
2016,1,5,10,30,205.14000000000001,11.3
2016,1,5,11,30,206.36,11.4
2016,1,5,12,30,210.42000000000002,11.34
2016,1,5,13,30,210.59,12.040000000000001
2016,1,5,14,30,206.98000000000002,12.11
2016,1,5,15,30,207.36,12.59
2016,1,5,16,30,209.57,11.96
2016,1,5,17,30,212.72,11.57
2016,1,5,18,30,211.86,11.26
2016,1,5,19,30,211.36,11.120000000000001
2016,1,5,20,30,208.64000000000001,11.03
2016,1,5,21,30,206.8,11.67
2016,1,5,22,30,205.19,11.69
2016,1,5,23,30,204.34,11.39
2016,1,6,0,30,204.64000000000001,11.22
2016,1,6,1,30,206.56,12.040000000000001
2016,1,6,2,30,209.29,12.86
2016,1,6,3,30,211.08,13.01
2016,1,6,4,30,214.28,13.68
2016,1,6,5,30,218.1,13.16
2016,1,6,6,30,221.04,11.76
2016,1,6,7,30,219.16,11.06
2016,1,6,8,30,215.81,11.09
2016,1,6,9,30,216.42000000000002,11.72
2016,1,6,10,30,215.76,10.620000000000001
2016,1,6,11,30,216.46,10.83
2016,1,6,12,30,217.86,11
2016,1,6,13,30,218.8,10.01
2016,1,6,14,30,218.32,8.94
2016,1,6,15,30,223.37,8.1
2016,1,6,16,30,226.73000000000002,7.23
2016,1,6,17,30,223.53,6.38
2016,1,6,18,30,217.48000000000002,5.91
2016,1,6,19,30,214.28,5.58
2016,1,6,20,30,211.4,5.2700000000000005
2016,1,6,21,30,209.48000000000002,5.69
2016,1,6,22,30,201.39000000000001,6.15
2016,1,6,23,30,198.15,6.7
2016,1,7,0,30,201.47,8.33
2016,1,7,1,30,205.35,7.57
2016,1,7,2,30,205.17000000000002,7.3500000000000005
2016,1,7,3,30,214.67000000000002,6.5200000000000005
2016,1,7,4,30,208.42000000000002,6.05
2016,1,7,5,30,201.78,5.39
2016,1,7,6,30,205.01,5.3
2016,1,7,7,30,202.13,5.45
2016,1,7,8,30,200.29,4.68
2016,1,7,9,30,201.63,5.21
2016,1,7,10,30,194.1,4.2700000000000005
2016,1,7,11,30,179.49,4.37
2016,1,7,12,30,168.35,5.22
2016,1,7,13,30,162.69,5.29
2016,1,7,14,30,152.12,4.62
2016,1,7,15,30,144.91,3.77
2016,1,7,16,30,141.51,3.95
2016,1,7,17,30,129.81,4.13
2016,1,7,18,30,138.34,4.42
2016,1,7,19,30,141.39000000000001,4.8
2016,1,7,20,30,133.04,6.0200000000000005
2016,1,7,21,30,132.19,6.79
2016,1,7,22,30,130.58,7.5
2016,1,7,23,30,130.07,7.76
2016,1,8,0,30,134.2,7.61
2016,1,8,1,30,140.18,7.7700000000000005
2016,1,8,2,30,148.74,8.620000000000001
2016,1,8,3,30,153,8.18
2016,1,8,4,30,153.77,8.05
2016,1,8,5,30,150.79,7.75
2016,1,8,6,30,149.33,7.1000000000000005
2016,1,8,7,30,148.61,6.890000000000001
2016,1,8,8,30,147.08,6.84
2016,1,8,9,30,144.24,6.36
2016,1,8,10,30,142.71,7.3
2016,1,8,11,30,119.64,6.93
2016,1,8,12,30,124.3,8.83
2016,1,8,13,30,124.15,8.120000000000001
2016,1,8,14,30,127,6.88
2016,1,8,15,30,134.52,6.11
2016,1,8,16,30,138.14000000000001,4.97
2016,1,8,17,30,134.63,4.5
2016,1,8,18,30,125.45,4.32
2016,1,8,19,30,119.9,3.67
2016,1,8,20,30,105.91,3.62
2016,1,8,21,30,106.07000000000001,3.23
2016,1,8,22,30,84.54,3.22
2016,1,8,23,30,75.75,3.45
2016,1,9,0,30,64.75,3.74
2016,1,9,1,30,83.64,3.36
2016,1,9,2,30,74.68,2.2
2016,1,9,3,30,17.080000000000002,1.18
2016,1,9,4,30,321.96,1.45
2016,1,9,5,30,321.72,3.58
2016,1,9,6,30,317.16,5.48
2016,1,9,7,30,328.16,6.0200000000000005
2016,1,9,8,30,327.62,8.370000000000001
2016,1,9,9,30,340.24,9.42
2016,1,9,10,30,336.88,9.48
2016,1,9,11,30,334.85,10.31
2016,1,9,12,30,333.65000000000003,9.84
2016,1,9,13,30,330.11,9.46
2016,1,9,14,30,329.34000000000003,9.69
2016,1,9,15,30,330.42,8.51
2016,1,9,16,30,329.39,8.81
2016,1,9,17,30,322.61,7.4
2016,1,9,18,30,320.15000000000003,7.16
2016,1,9,19,30,318.12,7.46
2016,1,9,20,30,318.39,8.34
2016,1,9,21,30,318.07,8.5
2016,1,9,22,30,323.95,10.040000000000001
2016,1,9,23,30,329.1,10.66
2016,1,10,0,30,330.87,11.41
2016,1,10,1,30,332.73,12.07
2016,1,10,2,30,335.03000000000003,12.16
2016,1,10,3,30,336.92,11.65
2016,1,10,4,30,335.16,12.08
2016,1,10,5,30,330.74,12.620000000000001
2016,1,10,6,30,327.25,13.25
2016,1,10,7,30,326.69,13.530000000000001
2016,1,10,8,30,325.57,13.92
2016,1,10,9,30,324.07,13.64
2016,1,10,10,30,321.8,13.700000000000001
2016,1,10,11,30,321.23,13.72
2016,1,10,12,30,319.62,13.280000000000001
2016,1,10,13,30,318.98,12.99
2016,1,10,14,30,316.81,12
2016,1,10,15,30,312.24,11.34
2016,1,10,16,30,309.38,11.24
2016,1,10,17,30,304.45,10.99
2016,1,10,18,30,300.28000000000003,10.89
2016,1,10,19,30,299.05,11.07
2016,1,10,20,30,295.98,11.17
2016,1,10,21,30,295.27,11.01
2016,1,10,22,30,293.66,11.19
2016,1,10,23,30,292.98,11.69
2016,1,11,0,30,289.90000000000003,11.44
2016,1,11,1,30,289.67,11.96
2016,1,11,2,30,290.85,12.01
2016,1,11,3,30,291.12,12.35
2016,1,11,4,30,292.93,12.38
2016,1,11,5,30,292.25,12.530000000000001
2016,1,11,6,30,291.69,12.32
2016,1,11,7,30,291.44,11.88
2016,1,11,8,30,291.49,11.42
2016,1,11,9,30,294,10.8
2016,1,11,10,30,295.76,10.120000000000001
2016,1,11,11,30,294.09000000000003,8.85
2016,1,11,12,30,289.77,6.84
2016,1,11,13,30,285.54,5.1000000000000005
2016,1,11,14,30,277.8,4.46
2016,1,11,15,30,257.38,4.5
2016,1,11,16,30,243.63,4.47
2016,1,11,17,30,232.53,3.93
2016,1,11,18,30,230.43,3.23
2016,1,11,19,30,225.28,3.23
2016,1,11,20,30,221.66,3.47
2016,1,11,21,30,216.16,2.95
2016,1,11,22,30,200.53,3.04
2016,1,11,23,30,197.45000000000002,2.95
2016,1,12,0,30,189.9,2.27
2016,1,12,1,30,141.28,1.99
2016,1,12,2,30,108.03,1.73
2016,1,12,3,30,49.29,1.57
2016,1,12,4,30,18.73,3
2016,1,12,5,30,8.46,4.5
2016,1,12,6,30,349.73,5.8100000000000005
2016,1,12,7,30,335.13,8.27
2016,1,12,8,30,320.46,10.290000000000001
2016,1,12,9,30,318.01,12.32
2016,1,12,10,30,316.85,14.81
2016,1,12,11,30,314.55,16.55
2016,1,12,12,30,318.2,17.78
2016,1,12,13,30,319.92,17.14
2016,1,12,14,30,316.42,16.62
2016,1,12,15,30,319.1,14.83
2016,1,12,16,30,316.95,11.93
2016,1,12,17,30,312.24,11.55
2016,1,12,18,30,310.63,12.49
2016,1,12,19,30,309.81,12.41
2016,1,12,20,30,305.98,10.98
2016,1,12,21,30,299.90000000000003,11.23
2016,1,12,22,30,290.59000000000003,11.71
2016,1,12,23,30,291.29,12.280000000000001
2016,1,13,0,30,289.66,11.32
2016,1,13,1,30,292.34000000000003,11.58
2016,1,13,2,30,289.62,11.63
2016,1,13,3,30,289.44,11.11
2016,1,13,4,30,287.61,10.53
2016,1,13,5,30,285.93,10.3
2016,1,13,6,30,283.08,10.120000000000001
2016,1,13,7,30,280.95,10.27
2016,1,13,8,30,279.17,10.39
2016,1,13,9,30,277.6,10.25
2016,1,13,10,30,271.68,8.99
2016,1,13,11,30,245.47,5.87
2016,1,13,12,30,231.82,4.8
2016,1,13,13,30,230.61,5.89
2016,1,13,14,30,232.42000000000002,6.92
2016,1,13,15,30,233.3,7.45
2016,1,13,16,30,234.82,7.65
2016,1,13,17,30,234.70000000000002,8.39
2016,1,13,18,30,236.66,7.75
2016,1,13,19,30,236.05,7.32
2016,1,13,20,30,235.21,7.2700000000000005
2016,1,13,21,30,239.36,6.7700000000000005
2016,1,13,22,30,241.25,5.57
2016,1,13,23,30,250.85,4.7
2016,1,14,0,30,250.5,5.78
2016,1,14,1,30,263.8,4.96
2016,1,14,2,30,275.63,3.38
2016,1,14,3,30,287.93,4.04
2016,1,14,4,30,293.3,4.45
2016,1,14,5,30,305.22,3.68
2016,1,14,6,30,308,3.38
2016,1,14,7,30,334.12,3.17
2016,1,14,8,30,26.69,3.0100000000000002
2016,1,14,9,30,47.62,3.22
2016,1,14,10,30,63.410000000000004,3.5
2016,1,14,11,30,73.52,3.89
2016,1,14,12,30,91.4,3.71
2016,1,14,13,30,96.67,5.11
2016,1,14,14,30,91.46000000000001,5.3100000000000005
2016,1,14,15,30,100.14,5.4
2016,1,14,16,30,98.9,5.8100000000000005
