SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2009,1,1,0,30,278.83,4.62
2009,1,1,1,30,266.28000000000003,3.8000000000000003
2009,1,1,2,30,249.06,4.2700000000000005
2009,1,1,3,30,199.44,4.78
2009,1,1,4,30,190.53,4.46
2009,1,1,5,30,185.82,4.86
2009,1,1,6,30,179.86,6.5600000000000005
2009,1,1,7,30,178.79,7.5600000000000005
2009,1,1,8,30,176.20000000000002,7.5
2009,1,1,9,30,174.53,8.620000000000001
2009,1,1,10,30,169.84,9.24
2009,1,1,11,30,171.34,8.52
2009,1,1,12,30,177.45000000000002,9.870000000000001
2009,1,1,13,30,182.3,9.65
2009,1,1,14,30,183.19,12.93
2009,1,1,15,30,189.27,12.31
2009,1,1,16,30,192.69,11.77
2009,1,1,17,30,195.04,11.66
2009,1,1,18,30,200.3,11.55
2009,1,1,19,30,209.21,11.74
2009,1,1,20,30,212.15,10.43
2009,1,1,21,30,214.12,10.040000000000001
2009,1,1,22,30,213.39000000000001,10.06
2009,1,1,23,30,220.46,10.68
2009,1,2,0,30,225.6,11.23
2009,1,2,1,30,227.74,11.450000000000001
2009,1,2,2,30,249.86,12.02
2009,1,2,3,30,270.15,14.07
2009,1,2,4,30,280.24,14.11
2009,1,2,5,30,283.66,12.48
2009,1,2,6,30,287.49,12.16
2009,1,2,7,30,292.54,12.57
2009,1,2,8,30,289.27,15.82
2009,1,2,9,30,290.57,14.450000000000001
2009,1,2,10,30,291.66,12.780000000000001
2009,1,2,11,30,293.93,13.75
2009,1,2,12,30,293.25,14.38
2009,1,2,13,30,290.5,14.200000000000001
2009,1,2,14,30,295.01,13.73
2009,1,2,15,30,299.08,12.790000000000001
2009,1,2,16,30,294.49,8.870000000000001
2009,1,2,17,30,293.91,9.15
2009,1,2,18,30,294.05,9.58
2009,1,2,19,30,299.51,9.09
2009,1,2,20,30,306.85,8.01
2009,1,2,21,30,303.28000000000003,7.82
2009,1,2,22,30,288.13,7.76
2009,1,2,23,30,289.41,8.65
2009,1,3,0,30,301.24,8.08
2009,1,3,1,30,321.40000000000003,6.8100000000000005
2009,1,3,2,30,345.42,6.21
2009,1,3,3,30,8.73,6.65
2009,1,3,4,30,30.740000000000002,8.16
2009,1,3,5,30,42.36,6.61
2009,1,3,6,30,49.84,5.79
2009,1,3,7,30,58.64,5
2009,1,3,8,30,68.19,5.5
2009,1,3,9,30,72.33,6.15
2009,1,3,10,30,73.46000000000001,6.16
2009,1,3,11,30,78.43,5.74
2009,1,3,12,30,77.29,7.97
2009,1,3,13,30,76.09,8.65
2009,1,3,14,30,77.31,9.65
2009,1,3,15,30,83.84,9.56
2009,1,3,16,30,88.32000000000001,8.97
2009,1,3,17,30,94.15,9.06
2009,1,3,18,30,95.84,9.16
2009,1,3,19,30,108.14,12.870000000000001
2009,1,3,20,30,102.26,12.47
2009,1,3,21,30,95.83,12.19
2009,1,3,22,30,87.18,12.74
2009,1,3,23,30,90.05,12.25
2009,1,4,0,30,93.48,12.32
2009,1,4,1,30,98.8,12.22
2009,1,4,2,30,103.06,13.27
2009,1,4,3,30,112.62,13.84
2009,1,4,4,30,117.14,13.530000000000001
2009,1,4,5,30,121.73,12.26
2009,1,4,6,30,127.82000000000001,11.11
2009,1,4,7,30,135.71,8.16
2009,1,4,8,30,140.38,4.3500000000000005
2009,1,4,9,30,129.73,4.03
2009,1,4,10,30,128.26,3.45
2009,1,4,11,30,171.13,2.06
2009,1,4,12,30,258.59000000000003,3.61
2009,1,4,13,30,281.52,9.02
2009,1,4,14,30,296.68,14.370000000000001
2009,1,4,15,30,295.90000000000003,15.06
2009,1,4,16,30,298.51,15.07
2009,1,4,17,30,297.86,14.07
2009,1,4,18,30,298.43,15.63
2009,1,4,19,30,298.41,16.42
2009,1,4,20,30,297.23,17.740000000000002
2009,1,4,21,30,295.49,18.87
2009,1,4,22,30,293.64,18.35
2009,1,4,23,30,294.61,18.580000000000002
2009,1,5,0,30,294.83,17.87
2009,1,5,1,30,293.99,16.36
2009,1,5,2,30,292.09000000000003,15.38
2009,1,5,3,30,291.54,14.42
2009,1,5,4,30,287.41,13.59
2009,1,5,5,30,286.02,13.19
2009,1,5,6,30,285.1,12.870000000000001
2009,1,5,7,30,283.16,12.450000000000001
2009,1,5,8,30,280.38,11.92
2009,1,5,9,30,273.99,11.08
2009,1,5,10,30,263.87,9.85
2009,1,5,11,30,250.5,8.96
2009,1,5,12,30,249.37,8.75
2009,1,5,13,30,248.15,9.64
2009,1,5,14,30,244.99,8.59
2009,1,5,15,30,237.22,8.370000000000001
2009,1,5,16,30,235.37,8.86
2009,1,5,17,30,234.42000000000002,9.58
2009,1,5,18,30,235.74,10.03
2009,1,5,19,30,235.46,10.32
2009,1,5,20,30,233.81,10.6
2009,1,5,21,30,231.02,11.34
2009,1,5,22,30,230.65,12.280000000000001
2009,1,5,23,30,227.4,11.99
2009,1,6,0,30,228.18,12.35
2009,1,6,1,30,229.63,11.33
2009,1,6,2,30,226.91,11.15
2009,1,6,3,30,224.88,11.74
2009,1,6,4,30,225.24,11.6
2009,1,6,5,30,223.94,10.32
2009,1,6,6,30,228.98000000000002,9.65
2009,1,6,7,30,228.6,8.21
2009,1,6,8,30,223.54,6.4
2009,1,6,9,30,198.55,2.99
2009,1,6,10,30,158.61,2.57
2009,1,6,11,30,144.26,2.93
2009,1,6,12,30,136.23,3.52
2009,1,6,13,30,136.83,5.71
2009,1,6,14,30,138.22,6.55
2009,1,6,15,30,143.62,5.97
2009,1,6,16,30,146.19,5.93
2009,1,6,17,30,145.29,5.67
2009,1,6,18,30,143.36,5.82
2009,1,6,19,30,146.23,6.75
2009,1,6,20,30,149.42000000000002,7.76
2009,1,6,21,30,137.73,7.53
2009,1,6,22,30,134.61,8.03
2009,1,6,23,30,135.89000000000001,8.040000000000001
2009,1,7,0,30,141.3,8.23
2009,1,7,1,30,144.19,7.84
2009,1,7,2,30,136.6,6.33
2009,1,7,3,30,146.63,5.58
2009,1,7,4,30,146.46,6.71
