SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2015,1,1,0,30,261.07,14.89
2015,1,1,1,30,262.97,14.790000000000001
2015,1,1,2,30,264.45,14.73
2015,1,1,3,30,265.46,12.74
2015,1,1,4,30,264.12,13.200000000000001
2015,1,1,5,30,264.19,13.450000000000001
2015,1,1,6,30,262.99,12.65
2015,1,1,7,30,255.20000000000002,12.58
2015,1,1,8,30,251.19,12.99
2015,1,1,9,30,251.95000000000002,12.780000000000001
2015,1,1,10,30,253.31,12.58
2015,1,1,11,30,250.47,11.58
2015,1,1,12,30,248.85,12.15
2015,1,1,13,30,252.12,12.91
2015,1,1,14,30,257.35,10.73
2015,1,1,15,30,258.76,9.46
2015,1,1,16,30,261.91,9.950000000000001
2015,1,1,17,30,267.93,9.98
2015,1,1,18,30,273.83,9.77
2015,1,1,19,30,279.18,9
2015,1,1,20,30,283.31,9.11
2015,1,1,21,30,286.26,8.93
2015,1,1,22,30,282.38,9.67
2015,1,1,23,30,285.76,9.790000000000001
2015,1,2,0,30,303.6,9.5
2015,1,2,1,30,336.90000000000003,9.67
2015,1,2,2,30,348.71,7.87
2015,1,2,3,30,343.74,7.58
2015,1,2,4,30,325.18,6.54
2015,1,2,5,30,315.89,7.08
2015,1,2,6,30,312.27,8.18
2015,1,2,7,30,311.6,8.3
2015,1,2,8,30,315.85,8.370000000000001
2015,1,2,9,30,321.1,8.33
2015,1,2,10,30,322.29,7.87
2015,1,2,11,30,321.57,7.54
2015,1,2,12,30,309.46,5.04
2015,1,2,13,30,313.35,3.84
2015,1,2,14,30,319.21,3.8200000000000003
2015,1,2,15,30,285.24,1.5
2015,1,2,16,30,222.18,2.84
2015,1,2,17,30,234.17000000000002,3.37
2015,1,2,18,30,242.86,3.62
2015,1,2,19,30,236.15,4.04
2015,1,2,20,30,227.86,2.96
2015,1,2,21,30,207.12,2.64
2015,1,2,22,30,191.23000000000002,4.3100000000000005
2015,1,2,23,30,181.47,4.75
2015,1,3,0,30,180.59,5.17
2015,1,3,1,30,163.92000000000002,5.34
2015,1,3,2,30,160.33,6.18
2015,1,3,3,30,167.54,7.55
2015,1,3,4,30,170.06,8.15
2015,1,3,5,30,169.41,8.22
2015,1,3,6,30,169.82,7.95
2015,1,3,7,30,169.44,9.540000000000001
2015,1,3,8,30,167.26,7.390000000000001
2015,1,3,9,30,165.5,5.38
2015,1,3,10,30,152.45000000000002,5.22
2015,1,3,11,30,147.48,7.3
2015,1,3,12,30,157.14000000000001,6.83
2015,1,3,13,30,153.66,6.67
2015,1,3,14,30,160.58,5.34
2015,1,3,15,30,173.09,3.58
2015,1,3,16,30,144.14000000000001,3.34
2015,1,3,17,30,122.24000000000001,3.0500000000000003
2015,1,3,18,30,126.67,2.38
2015,1,3,19,30,115.19,1.1500000000000001
2015,1,3,20,30,7.0600000000000005,1.68
2015,1,3,21,30,10.06,2.89
2015,1,3,22,30,1.18,3.15
2015,1,3,23,30,358.49,4.82
2015,1,4,0,30,359.31,7.07
2015,1,4,1,30,0.6,7.5
2015,1,4,2,30,2.5300000000000002,8.01
2015,1,4,3,30,6.59,8.6
2015,1,4,4,30,6.28,8.8
2015,1,4,5,30,11.15,8.14
2015,1,4,6,30,8.74,9.200000000000001
2015,1,4,7,30,10.09,9.950000000000001
2015,1,4,8,30,4.49,10.13
2015,1,4,9,30,2.46,11.8
2015,1,4,10,30,3,12.97
2015,1,4,11,30,356.01,13.33
2015,1,4,12,30,350.71,12.620000000000001
2015,1,4,13,30,353.13,13.72
2015,1,4,14,30,356.22,13.84
2015,1,4,15,30,345.85,12.52
2015,1,4,16,30,338.76,11.66
2015,1,4,17,30,333.49,11.93
2015,1,4,18,30,331.95,11.72
2015,1,4,19,30,311.96,10.65
2015,1,4,20,30,308.15000000000003,12.72
2015,1,4,21,30,309.78000000000003,12.73
2015,1,4,22,30,307.88,13.21
2015,1,4,23,30,306.84000000000003,12.21
2015,1,5,0,30,306.74,13.450000000000001
2015,1,5,1,30,307.96,11.75
2015,1,5,2,30,305.76,11.23
2015,1,5,3,30,298.84000000000003,11.23
2015,1,5,4,30,299.34000000000003,11.43
2015,1,5,5,30,300.94,11.36
2015,1,5,6,30,298.89,11.450000000000001
2015,1,5,7,30,295.1,11.44
2015,1,5,8,30,292.51,12.200000000000001
2015,1,5,9,30,289.47,12.23
2015,1,5,10,30,285.53000000000003,11.41
2015,1,5,11,30,286.11,11.07
2015,1,5,12,30,281.65000000000003,10.47
2015,1,5,13,30,276.67,10.5
2015,1,5,14,30,278.15000000000003,9.35
2015,1,5,15,30,279.41,9.1
2015,1,5,16,30,282.57,9.18
2015,1,5,17,30,274.15000000000003,8.68
2015,1,5,18,30,270.93,8.33
2015,1,5,19,30,266.79,8.1
2015,1,5,20,30,262.96,7.38
2015,1,5,21,30,251.61,5.24
2015,1,5,22,30,243.22,4.75
2015,1,5,23,30,227.18,4.05
2015,1,6,0,30,227.65,5.32
2015,1,6,1,30,240.25,5.65
2015,1,6,2,30,253.06,5.75
2015,1,6,3,30,257.94,5.55
2015,1,6,4,30,260.32,4.69
2015,1,6,5,30,282.91,3.86
2015,1,6,6,30,276.41,4.51
2015,1,6,7,30,279.66,5.11
2015,1,6,8,30,287.3,5.9
2015,1,6,9,30,288.90000000000003,7.83
2015,1,6,10,30,290.21,9.56
2015,1,6,11,30,295.21,10.31
2015,1,6,12,30,293.7,11.08
2015,1,6,13,30,282.97,11.27
2015,1,6,14,30,273.7,10.9
2015,1,6,15,30,275.13,10.43
2015,1,6,16,30,273.01,10.75
2015,1,6,17,30,272.52,10.48
2015,1,6,18,30,277.31,12.41
2015,1,6,19,30,280.28000000000003,12.36
2015,1,6,20,30,280.96,12.41
2015,1,6,21,30,284.25,11.950000000000001
2015,1,6,22,30,287.7,13.1
2015,1,6,23,30,290.33,13.040000000000001
2015,1,7,0,30,296.44,12.43
2015,1,7,1,30,304.34000000000003,12.35
2015,1,7,2,30,314.71,12.11
2015,1,7,3,30,317.36,14.290000000000001
2015,1,7,4,30,316.86,16.06
2015,1,7,5,30,319.83,15.56
2015,1,7,6,30,320.88,16.88
2015,1,7,7,30,321.18,17.25
2015,1,7,8,30,321.08,16.4
2015,1,7,9,30,321.67,16.8
2015,1,7,10,30,324.14,16.31
2015,1,7,11,30,324.45,16.330000000000002
2015,1,7,12,30,324.89,16.240000000000002
2015,1,7,13,30,324.45,15.97
2015,1,7,14,30,322.85,15.89
2015,1,7,15,30,323.15000000000003,13.06
2015,1,7,16,30,318.45,12.43
2015,1,7,17,30,314.22,11.97
2015,1,7,18,30,310.85,11.93
2015,1,7,19,30,303.41,11.94
2015,1,7,20,30,300.16,12.06
2015,1,7,21,30,298.66,11.39
2015,1,7,22,30,293.48,12.44
2015,1,7,23,30,291.75,14.31
2015,1,8,0,30,293.45,15.450000000000001
2015,1,8,1,30,289.97,14.55
2015,1,8,2,30,286.35,14.32
2015,1,8,3,30,281.11,13.89
2015,1,8,4,30,274.15000000000003,13.32
2015,1,8,5,30,273.78000000000003,14.84
2015,1,8,6,30,272.6,14.040000000000001
2015,1,8,7,30,270.4,13.76
2015,1,8,8,30,265.75,13.13
2015,1,8,9,30,258.48,12.93
2015,1,8,10,30,246.36,10.48
2015,1,8,11,30,234.33,9.92
2015,1,8,12,30,228.37,10.09
2015,1,8,13,30,224.01,10.120000000000001
2015,1,8,14,30,211.17000000000002,11.24
2015,1,8,15,30,207.99,12.290000000000001
