SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2017,1,1,0,30,290.44,11.65
2017,1,1,1,30,286.03000000000003,11.52
2017,1,1,2,30,285.46,12.39
2017,1,1,3,30,281.32,11.370000000000001
2017,1,1,4,30,271.38,10.92
2017,1,1,5,30,261.45,10.47
2017,1,1,6,30,236.32,9.120000000000001
2017,1,1,7,30,223.89000000000001,9.86
2017,1,1,8,30,225.54,11.73
2017,1,1,9,30,225.45000000000002,12.24
2017,1,1,10,30,227.20000000000002,12.35
2017,1,1,11,30,230.41,12.74
2017,1,1,12,30,236.35,13.290000000000001
2017,1,1,13,30,242.38,12.91
2017,1,1,14,30,245.29,12.26
2017,1,1,15,30,255.47,10.950000000000001
2017,1,1,16,30,259.98,8.34
2017,1,1,17,30,258.87,6.21
2017,1,1,18,30,264.6,4.9
2017,1,1,19,30,269.35,3.8000000000000003
2017,1,1,20,30,278.90000000000003,2.91
2017,1,1,21,30,238.87,2.63
2017,1,1,22,30,238.97,2.82
2017,1,1,23,30,262.09000000000003,1.3800000000000001
2017,1,2,0,30,334.33,1.28
2017,1,2,1,30,30.42,3.91
2017,1,2,2,30,45.47,6.0600000000000005
2017,1,2,3,30,62.230000000000004,6.26
2017,1,2,4,30,74.84,7.23
2017,1,2,5,30,76.91,7.72
2017,1,2,6,30,77.09,8.46
2017,1,2,7,30,82.47,8.74
2017,1,2,8,30,83.94,8.870000000000001
2017,1,2,9,30,80.33,7.82
2017,1,2,10,30,75.24,7.99
2017,1,2,11,30,72.56,7.88
2017,1,2,12,30,73.61,7.96
2017,1,2,13,30,78.61,8.1
2017,1,2,14,30,83.48,8.36
2017,1,2,15,30,86.64,8.33
2017,1,2,16,30,92.10000000000001,8.19
2017,1,2,17,30,92.36,7.86
2017,1,2,18,30,97.87,7.37
2017,1,2,19,30,95.34,7.98
2017,1,2,20,30,87.35000000000001,8.25
2017,1,2,21,30,79.28,8.71
2017,1,2,22,30,71.73,10.43
2017,1,2,23,30,67.44,9.86
2017,1,3,0,30,67.4,10.02
2017,1,3,1,30,62.870000000000005,9.27
2017,1,3,2,30,76.31,9.14
2017,1,3,3,30,71.89,7.84
2017,1,3,4,30,67.45,8.81
2017,1,3,5,30,70.91,7.83
2017,1,3,6,30,65.81,8.2
2017,1,3,7,30,77.74,6.18
2017,1,3,8,30,78.23,5.68
2017,1,3,9,30,68.5,5.7
2017,1,3,10,30,60.31,5.03
2017,1,3,11,30,58.88,4.37
2017,1,3,12,30,31.04,3.41
2017,1,3,13,30,3,3.63
2017,1,3,14,30,341.88,3.62
2017,1,3,15,30,318.47,4.16
2017,1,3,16,30,310.23,5.04
2017,1,3,17,30,307.08,6.67
2017,1,3,18,30,308.82,8.35
2017,1,3,19,30,305.5,10.27
2017,1,3,20,30,304.09000000000003,12.76
2017,1,3,21,30,299.63,14.52
2017,1,3,22,30,297.84000000000003,16.86
2017,1,3,23,30,297.16,18.37
2017,1,4,0,30,296.46,21.38
2017,1,4,1,30,296.07,19.97
2017,1,4,2,30,299.07,17.72
2017,1,4,3,30,299.36,17.47
2017,1,4,4,30,297.22,17.69
2017,1,4,5,30,294.53000000000003,17.25
2017,1,4,6,30,293.53000000000003,16.56
2017,1,4,7,30,292.98,16.91
2017,1,4,8,30,293.83,16.85
2017,1,4,9,30,294.52,17.31
2017,1,4,10,30,295.64,18.11
2017,1,4,11,30,295.63,18.34
2017,1,4,12,30,295.67,17.330000000000002
2017,1,4,13,30,295.27,15.950000000000001
2017,1,4,14,30,295.90000000000003,15.22
2017,1,4,15,30,297.8,15.15
2017,1,4,16,30,296.95,14.32
2017,1,4,17,30,296.38,13.96
2017,1,4,18,30,296.01,13.86
2017,1,4,19,30,294.72,13.92
2017,1,4,20,30,293.78000000000003,12.96
2017,1,4,21,30,290.77,12.280000000000001
2017,1,4,22,30,288.06,13.08
2017,1,4,23,30,290.08,14.22
2017,1,5,0,30,294.65000000000003,13.6
2017,1,5,1,30,295.22,12.72
2017,1,5,2,30,294.84000000000003,12.540000000000001
2017,1,5,3,30,294.35,12.09
2017,1,5,4,30,295.01,11.64
2017,1,5,5,30,294.29,11.58
2017,1,5,6,30,293.67,12.1
2017,1,5,7,30,293.13,11.78
2017,1,5,8,30,291.55,11.57
2017,1,5,9,30,291.3,11.24
2017,1,5,10,30,293.59000000000003,10.52
2017,1,5,11,30,294.91,10.35
2017,1,5,12,30,293.94,10.42
2017,1,5,13,30,292.33,10.42
2017,1,5,14,30,293.15000000000003,9.42
2017,1,5,15,30,293.05,8.75
2017,1,5,16,30,293.39,8.78
2017,1,5,17,30,292.15000000000003,9.22
2017,1,5,18,30,293.73,9.55
2017,1,5,19,30,294.45,9.63
2017,1,5,20,30,292.14,9.16
2017,1,5,21,30,290.3,9.16
2017,1,5,22,30,288.19,10.25
2017,1,5,23,30,290.16,10.9
2017,1,6,0,30,295.02,10.86
2017,1,6,1,30,297.42,10.85
2017,1,6,2,30,295.13,10.53
2017,1,6,3,30,293.91,10.57
2017,1,6,4,30,295.04,10.74
2017,1,6,5,30,296.17,11.03
2017,1,6,6,30,295.49,10.97
2017,1,6,7,30,294.25,10.83
2017,1,6,8,30,294.5,10.99
2017,1,6,9,30,295.72,10.92
2017,1,6,10,30,295.83,11.02
2017,1,6,11,30,294.82,11.36
2017,1,6,12,30,298.24,11.200000000000001
2017,1,6,13,30,298.79,11.23
2017,1,6,14,30,298.89,10.64
2017,1,6,15,30,297.54,9.07
2017,1,6,16,30,300.25,8.57
2017,1,6,17,30,298.31,8.120000000000001
2017,1,6,18,30,292.32,7.88
2017,1,6,19,30,291.47,8.15
2017,1,6,20,30,292.61,7.82
2017,1,6,21,30,290.94,7.2
2017,1,6,22,30,289.48,7.8
2017,1,6,23,30,283.59000000000003,6.44
2017,1,7,0,30,281.87,7.26
2017,1,7,1,30,279.89,7.72
2017,1,7,2,30,277.58,7.33
2017,1,7,3,30,275.77,7.42
2017,1,7,4,30,277.73,7.98
2017,1,7,5,30,276.83,8.15
2017,1,7,6,30,274.38,7.95
2017,1,7,7,30,273.32,7.83
2017,1,7,8,30,273.68,8.32
2017,1,7,9,30,271,8.18
2017,1,7,10,30,276.58,7.7
2017,1,7,11,30,281.42,7.82
2017,1,7,12,30,280.95,8.26
2017,1,7,13,30,279.22,9.52
2017,1,7,14,30,278.08,9.31
2017,1,7,15,30,287.02,9.88
2017,1,7,16,30,294.51,10.67
2017,1,7,17,30,298.36,10.89
2017,1,7,18,30,298.64,11.53
2017,1,7,19,30,301.44,12.16
2017,1,7,20,30,303.35,11.870000000000001
2017,1,7,21,30,302.77,11.19
2017,1,7,22,30,298.92,11.84
2017,1,7,23,30,300.69,12.26
2017,1,8,0,30,303.90000000000003,12.200000000000001
2017,1,8,1,30,305.59000000000003,11.15
2017,1,8,2,30,306.22,10.8
2017,1,8,3,30,307.08,10.61
2017,1,8,4,30,306.92,10.47
2017,1,8,5,30,304.33,10.74
2017,1,8,6,30,301.38,11.28
2017,1,8,7,30,303.55,11.71
2017,1,8,8,30,308.43,10.86
2017,1,8,9,30,304.47,10.200000000000001
2017,1,8,10,30,299.17,10.14
2017,1,8,11,30,296.65000000000003,10.08
2017,1,8,12,30,296.39,9.92
2017,1,8,13,30,292.78000000000003,9.67
2017,1,8,14,30,289.76,7.78
2017,1,8,15,30,291.2,5.38
2017,1,8,16,30,289.19,2.77
2017,1,8,17,30,217.70000000000002,2.12
2017,1,8,18,30,217.05,3.59
2017,1,8,19,30,217.13,4.48
2017,1,8,20,30,206.84,5.29
2017,1,8,21,30,188.95000000000002,5.58
2017,1,8,22,30,170.68,6.54
2017,1,8,23,30,176.68,8.73
2017,1,9,0,30,179.34,10.9
2017,1,9,1,30,181.28,11.6
2017,1,9,2,30,179.42000000000002,12.56
2017,1,9,3,30,188.71,14.040000000000001
2017,1,9,4,30,200.05,14.19
2017,1,9,5,30,205.09,12.59
2017,1,9,6,30,214.4,12.77
2017,1,9,7,30,225.07,11.67
2017,1,9,8,30,231.35,10.67
2017,1,9,9,30,234.57,9.41
2017,1,9,10,30,242.48000000000002,8.84
2017,1,9,11,30,251.78,8.02
2017,1,9,12,30,273.91,7.44
2017,1,9,13,30,303.46,6.390000000000001
2017,1,9,14,30,347.31,3.41
2017,1,9,15,30,20.94,0.78
2017,1,9,16,30,64.61,0.51
2017,1,9,17,30,160.52,0.99
2017,1,9,18,30,150,1.4000000000000001
2017,1,9,19,30,161.23,1.72
2017,1,9,20,30,139.79,2.81
2017,1,9,21,30,139.93,3.8200000000000003
2017,1,9,22,30,136.15,5.37
2017,1,9,23,30,130.31,7.58
2017,1,10,0,30,159.65,9.15
2017,1,10,1,30,168.4,8.5
2017,1,10,2,30,167.46,10.02
2017,1,10,3,30,164.49,9.09
2017,1,10,4,30,168.47,9.65
2017,1,10,5,30,164.79,9.83
