SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2001,1,1,0,30,345.81,6.22
2001,1,1,1,30,348.40000000000003,6.43
2001,1,1,2,30,1.35,6.67
2001,1,1,3,30,10.94,6.42
2001,1,1,4,30,20.01,7.37
2001,1,1,5,30,16.84,8.25
2001,1,1,6,30,9.61,9.69
2001,1,1,7,30,6.76,9.91
2001,1,1,8,30,5.88,10.35
2001,1,1,9,30,8.39,9.72
2001,1,1,10,30,6.38,10.56
2001,1,1,11,30,4.66,10.53
2001,1,1,12,30,7.15,10.66
2001,1,1,13,30,9.25,10.56
2001,1,1,14,30,9.71,10.02
2001,1,1,15,30,11.200000000000001,8.11
2001,1,1,16,30,7.69,5.17
2001,1,1,17,30,2.38,3.91
2001,1,1,18,30,343.40000000000003,3.19
2001,1,1,19,30,322.15000000000003,3.49
2001,1,1,20,30,312.05,4.62
2001,1,1,21,30,310.06,6.05
2001,1,1,22,30,318.83,6.84
2001,1,1,23,30,326.33,6.04
2001,1,2,0,30,319.29,9.21
2001,1,2,1,30,323.76,10.950000000000001
2001,1,2,2,30,328.39,10.33
2001,1,2,3,30,318.61,8.57
2001,1,2,4,30,312.14,7.94
2001,1,2,5,30,304.95,7.86
2001,1,2,6,30,295.28000000000003,9.72
2001,1,2,7,30,289.92,11.41
2001,1,2,8,30,289.51,11.77
2001,1,2,9,30,287.72,12.16
2001,1,2,10,30,285.24,12.84
2001,1,2,11,30,285.90000000000003,12.89
2001,1,2,12,30,283.44,12.67
2001,1,2,13,30,276.41,11.91
2001,1,2,14,30,271.8,10.84
2001,1,2,15,30,267.54,9.22
2001,1,2,16,30,261.31,8.65
2001,1,2,17,30,254.43,9.49
2001,1,2,18,30,251.91,10.5
2001,1,2,19,30,251.92000000000002,10.59
2001,1,2,20,30,248.92000000000002,10.51
2001,1,2,21,30,241.33,11
2001,1,2,22,30,233.88,11.370000000000001
2001,1,2,23,30,230.36,13.43
2001,1,3,0,30,232.18,15.07
2001,1,3,1,30,229.39000000000001,15.06
2001,1,3,2,30,223.92000000000002,14.120000000000001
2001,1,3,3,30,229.29,14.27
2001,1,3,4,30,229.75,15.55
2001,1,3,5,30,231.96,14.61
2001,1,3,6,30,233.79,12.77
2001,1,3,7,30,243.59,13.61
2001,1,3,8,30,246.8,12.27
2001,1,3,9,30,256.68,11.09
2001,1,3,10,30,269.25,11.24
2001,1,3,11,30,283.27,11.620000000000001
2001,1,3,12,30,291.67,11.85
2001,1,3,13,30,293.99,11.86
2001,1,3,14,30,295.04,12.3
2001,1,3,15,30,294.52,12.39
2001,1,3,16,30,296.96,11.8
2001,1,3,17,30,299.59000000000003,11.950000000000001
2001,1,3,18,30,302.66,11.07
2001,1,3,19,30,305.35,10.25
2001,1,3,20,30,306.92,10.07
2001,1,3,21,30,308.29,9.34
2001,1,3,22,30,308.88,9.85
2001,1,3,23,30,315.64,10.69
2001,1,4,0,30,322.61,11.3
2001,1,4,1,30,327.16,10.96
2001,1,4,2,30,323.44,10.97
2001,1,4,3,30,316.42,10.48
2001,1,4,4,30,317.84000000000003,10.06
2001,1,4,5,30,315.07,10.06
2001,1,4,6,30,310.04,9.23
2001,1,4,7,30,302.33,8.65
2001,1,4,8,30,299.73,7.22
2001,1,4,9,30,289.42,7.0600000000000005
2001,1,4,10,30,277.19,7.22
2001,1,4,11,30,265.43,6.92
2001,1,4,12,30,254.47,8.47
2001,1,4,13,30,251.26000000000002,10.91
2001,1,4,14,30,247.39000000000001,9.11
2001,1,4,15,30,224.8,6.45
2001,1,4,16,30,215.79,8.15
2001,1,4,17,30,214.84,9.75
2001,1,4,18,30,213.17000000000002,10.71
2001,1,4,19,30,211.6,11.34
2001,1,4,20,30,209.32,13.040000000000001
2001,1,4,21,30,211.84,12.65
2001,1,4,22,30,224.99,12.120000000000001
2001,1,4,23,30,223.47,12.42
2001,1,5,0,30,226.74,14.780000000000001
2001,1,5,1,30,242.47,15.43
2001,1,5,2,30,262.76,16.52
2001,1,5,3,30,281.71,17.18
2001,1,5,4,30,299.90000000000003,18.07
2001,1,5,5,30,304.5,18.26
2001,1,5,6,30,306.54,17.56
2001,1,5,7,30,305.97,17.67
2001,1,5,8,30,302.87,18.14
2001,1,5,9,30,298.77,18.78
2001,1,5,10,30,297.88,19.39
2001,1,5,11,30,296.90000000000003,19.14
2001,1,5,12,30,298.43,18.52
2001,1,5,13,30,302.32,17.3
2001,1,5,14,30,306.32,16.080000000000002
2001,1,5,15,30,309.64,15.46
2001,1,5,16,30,322.03000000000003,14.44
2001,1,5,17,30,327.55,14.11
2001,1,5,18,30,324.15000000000003,12.57
2001,1,5,19,30,328.45,13.1
2001,1,5,20,30,327.68,13.67
2001,1,5,21,30,328.1,13.65
2001,1,5,22,30,327.09000000000003,14.040000000000001
2001,1,5,23,30,329.41,12.99
2001,1,6,0,30,325.01,12.55
2001,1,6,1,30,333.68,10.97
2001,1,6,2,30,328.06,9.47
2001,1,6,3,30,327.92,9.620000000000001
2001,1,6,4,30,334.08,7.88
2001,1,6,5,30,350.74,6.8100000000000005
2001,1,6,6,30,353.85,4.69
2001,1,6,7,30,357.32,2.68
2001,1,6,8,30,324.13,1.36
2001,1,6,9,30,255.38,1.68
2001,1,6,10,30,196.4,2.95
2001,1,6,11,30,188.56,4.61
2001,1,6,12,30,180.69,6.8500000000000005
2001,1,6,13,30,181.55,7.15
2001,1,6,14,30,187.95000000000002,8.45
2001,1,6,15,30,188.87,8.69
2001,1,6,16,30,199.70000000000002,7.8
2001,1,6,17,30,211.97,8.3
2001,1,6,18,30,226.12,6.46
2001,1,6,19,30,240.93,6.33
2001,1,6,20,30,256.16,6.41
2001,1,6,21,30,270.64,6.65
2001,1,6,22,30,274.54,7.72
2001,1,6,23,30,288.98,9.66
2001,1,7,0,30,292.54,11.74
2001,1,7,1,30,302.25,12.51
2001,1,7,2,30,303.16,12.57
2001,1,7,3,30,308.90000000000003,11.71
2001,1,7,4,30,304.45,10.57
2001,1,7,5,30,298.3,11.64
2001,1,7,6,30,296.55,12.68
2001,1,7,7,30,295.46,13.030000000000001
2001,1,7,8,30,296.90000000000003,12.94
2001,1,7,9,30,298.2,12.99
2001,1,7,10,30,300.56,12.91
2001,1,7,11,30,308.03000000000003,13.24
2001,1,7,12,30,323.49,12.99
2001,1,7,13,30,334.34000000000003,13.450000000000001
2001,1,7,14,30,351.53000000000003,14.86
2001,1,7,15,30,354.52,13.44
2001,1,7,16,30,358.05,11.58
2001,1,7,17,30,356.15000000000003,10.33
2001,1,7,18,30,348.49,9.64
2001,1,7,19,30,346.98,10.77
2001,1,7,20,30,349.3,10.39
2001,1,7,21,30,342.7,10.82
2001,1,7,22,30,349.16,9.18
2001,1,7,23,30,350.21,9.17
2001,1,8,0,30,337.7,8.21
2001,1,8,1,30,347.69,10.28
2001,1,8,2,30,355.17,9.84
