SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2007,1,1,0,30,N/A,216.72,10.24,5.89,96490,N/A
2007,1,1,1,30,N/A,220.91,10.6,5.42,96510,N/A
2007,1,1,2,30,N/A,278.59000000000003,9.78,3.81,96640,N/A
2007,1,1,3,30,N/A,282.54,9.870000000000001,2.86,96760,N/A
2007,1,1,4,30,N/A,287.42,9.01,1.86,96890,N/A
2007,1,1,5,30,N/A,300.83,9.3,1.51,97010,N/A
2007,1,1,6,30,N/A,311.45,10.03,1.45,97160,N/A
2007,1,1,7,30,N/A,316.39,11.15,1.17,97300,N/A
2007,1,1,8,30,N/A,317.01,11.4,1.11,97460,N/A
2007,1,1,9,30,N/A,327.68,11.09,1.36,97600,N/A
2007,1,1,10,30,N/A,329.12,11.67,1.78,97740,N/A
2007,1,1,11,30,N/A,325.89,11.63,2.02,97890,N/A
2007,1,1,12,30,N/A,320.59000000000003,11.53,2.31,98030,N/A
2007,1,1,13,30,N/A,318.11,10.77,2.48,98180,N/A
2007,1,1,14,30,N/A,317.78000000000003,10.17,2.64,98300,N/A
2007,1,1,15,30,N/A,312.09000000000003,10.200000000000001,2.39,98440,N/A
2007,1,1,16,30,N/A,305.61,10.25,1.8,98580,N/A
2007,1,1,17,30,N/A,307.26,11.05,1.26,98680,N/A
2007,1,1,18,30,N/A,309.96,10.76,0.77,98770,N/A
2007,1,1,19,30,N/A,309.52,10.02,0.43,98860,N/A
2007,1,1,20,30,N/A,309.43,10.25,0.22,98910,N/A
2007,1,1,21,30,N/A,305.71,9.620000000000001,0.08,98930,N/A
2007,1,1,22,30,N/A,302.83,9.16,-0.06,98950,N/A
2007,1,1,23,30,N/A,301.03000000000003,9.72,0.05,98990,N/A
2007,1,2,0,30,N/A,294.8,9.13,0,99040,N/A
2007,1,2,1,30,N/A,284.3,7.930000000000001,-0.14,99080,N/A
2007,1,2,2,30,N/A,280.14,8.61,-0.01,99090,N/A
2007,1,2,3,30,N/A,272.73,8.4,0.17,99110,N/A
2007,1,2,4,30,N/A,263.42,7.54,-0.11,99140,N/A
2007,1,2,5,30,N/A,257.03000000000003,7.82,-0.07,99160,N/A
2007,1,2,6,30,N/A,250.48000000000002,7.07,0.39,99170,N/A
2007,1,2,7,30,N/A,246.28,7.29,0.66,99170,N/A
2007,1,2,8,30,N/A,231.83,6.5,0.64,99160,N/A
2007,1,2,9,30,N/A,232.02,6.0200000000000005,1.3,99140,N/A
2007,1,2,10,30,N/A,223.57,5.7700000000000005,1.84,99090,N/A
2007,1,2,11,30,N/A,213.81,5.71,2.68,99060,N/A
2007,1,2,12,30,N/A,213.81,6.28,3.39,99010,N/A
2007,1,2,13,30,N/A,215.25,6.99,3.7600000000000002,98940,N/A
2007,1,2,14,30,N/A,211.22,7.76,3.66,98880,N/A
2007,1,2,15,30,N/A,207.18,10.040000000000001,3.22,98810,N/A
2007,1,2,16,30,N/A,208.22,11.51,2.35,98780,N/A
2007,1,2,17,30,N/A,214.5,12.42,1.33,98750,N/A
2007,1,2,18,30,N/A,217.62,12.69,0.73,98730,N/A
2007,1,2,19,30,N/A,220.27,12.71,0.4,98700,N/A
2007,1,2,20,30,N/A,222.46,12.43,0.15,98650,N/A
2007,1,2,21,30,N/A,224.17000000000002,12.49,0.09,98590,N/A
2007,1,2,22,30,N/A,225.3,11.950000000000001,0.02,98530,N/A
2007,1,2,23,30,N/A,226.74,11.53,0.06,98510,N/A
2007,1,3,0,30,N/A,229.15,11.32,0.05,98440,N/A
2007,1,3,1,30,N/A,227.64000000000001,10.88,0.31,98400,N/A
2007,1,3,2,30,N/A,229.53,11.73,0.76,98370,N/A
2007,1,3,3,30,N/A,223.85,10.88,0.7000000000000001,98320,N/A
2007,1,3,4,30,N/A,221.5,10.09,0.56,98290,N/A
2007,1,3,5,30,N/A,223.86,10.35,0.58,98260,N/A
2007,1,3,6,30,N/A,222.20000000000002,10.23,0.5,98240,N/A
2007,1,3,7,30,N/A,217.33,9.92,0.52,98210,N/A
2007,1,3,8,30,N/A,217.33,9.47,0.45,98170,N/A
2007,1,3,9,30,N/A,225.25,9.200000000000001,2.04,98150,N/A
2007,1,3,10,30,N/A,216.85,8.38,2.94,98100,N/A
2007,1,3,11,30,N/A,213.70000000000002,7.99,3.7800000000000002,98060,N/A
2007,1,3,12,30,N/A,215.19,9.05,4.64,98010,N/A
2007,1,3,13,30,N/A,214.72,9.24,5.3100000000000005,97950,N/A
2007,1,3,14,30,N/A,214.33,10.6,5.75,97900,N/A
2007,1,3,15,30,N/A,210.02,11.41,5.33,97870,N/A
2007,1,3,16,30,N/A,207.12,12.030000000000001,4.26,97860,N/A
2007,1,3,17,30,N/A,211.8,13.46,3.5700000000000003,97830,N/A
2007,1,3,18,30,N/A,214.27,13.26,2.99,97810,N/A
2007,1,3,19,30,N/A,213.65,12.38,2.59,97820,N/A
2007,1,3,20,30,N/A,215.89000000000001,11.040000000000001,2.2,97800,N/A
2007,1,3,21,30,N/A,218.65,11.82,2.02,97750,N/A
2007,1,3,22,30,N/A,219.47,12.26,1.97,97700,N/A
2007,1,3,23,30,N/A,216.67000000000002,11.5,1.85,97670,N/A
2007,1,4,0,30,N/A,210.97,10.97,1.68,97610,N/A
2007,1,4,1,30,N/A,205.23000000000002,10.48,1.52,97570,N/A
2007,1,4,2,30,N/A,206.74,10.19,1.62,97520,N/A
2007,1,4,3,30,N/A,206.18,10.53,1.68,97490,N/A
2007,1,4,4,30,N/A,206.34,10.290000000000001,1.56,97450,N/A
2007,1,4,5,30,N/A,208.33,11.94,1.8,97390,N/A
2007,1,4,6,30,N/A,208.38,12.66,1.6500000000000001,97360,N/A
2007,1,4,7,30,N/A,207.05,13.11,1.69,97330,N/A
2007,1,4,8,30,N/A,208.57,10.93,1.71,97300,N/A
2007,1,4,9,30,N/A,206.32,9.15,2.49,97280,N/A
2007,1,4,10,30,N/A,207.04,8.540000000000001,4.0200000000000005,97210,N/A
2007,1,4,11,30,N/A,204.28,8.49,5.0600000000000005,97150,N/A
2007,1,4,12,30,N/A,201.98000000000002,10.31,5.88,97080,N/A
2007,1,4,13,30,N/A,203.84,10.39,6.47,97020,N/A
2007,1,4,14,30,N/A,208.01,11.13,7,96950,N/A
2007,1,4,15,30,N/A,200.99,9.64,6.9,96940,N/A
2007,1,4,16,30,N/A,192.75,8.870000000000001,6.6000000000000005,96930,N/A
2007,1,4,17,30,N/A,192.15,9.540000000000001,6.49,96890,N/A
2007,1,4,18,30,N/A,201.06,10.55,6.25,96880,N/A
2007,1,4,19,30,N/A,202.95000000000002,10.17,6.13,96880,N/A
2007,1,4,20,30,N/A,200,7.6000000000000005,5.26,96850,N/A
2007,1,4,21,30,N/A,208.82,7.63,5.24,96850,N/A
2007,1,4,22,30,N/A,200.81,7.9,5.55,96780,N/A
2007,1,4,23,30,N/A,207.70000000000002,7.71,5.55,96780,N/A
2007,1,5,0,30,N/A,205.57,7.15,5.61,96770,N/A
2007,1,5,1,30,N/A,195.97,8.66,5.73,96780,N/A
2007,1,5,2,30,N/A,212.91,6.22,5.42,96820,N/A
2007,1,5,3,30,N/A,207.6,6.83,5.45,96830,N/A
2007,1,5,4,30,N/A,225.79,7.87,5.3500000000000005,96880,N/A
2007,1,5,5,30,N/A,261.98,9.71,4.17,96960,N/A
2007,1,5,6,30,N/A,249.01000000000002,6.7,3.87,97030,N/A
2007,1,5,7,30,N/A,253.11,5.95,3.49,97090,N/A
2007,1,5,8,30,N/A,263.25,3.4,3.29,97140,N/A
2007,1,5,9,30,N/A,254.21,2.89,3.18,97150,N/A
2007,1,5,10,30,N/A,260.94,3.99,3.37,97150,N/A
2007,1,5,11,30,N/A,266.29,5.4,3.42,97190,N/A
2007,1,5,12,30,N/A,276.78000000000003,5.43,3.71,97190,N/A
2007,1,5,13,30,N/A,292.7,5.98,3.96,97210,N/A
2007,1,5,14,30,N/A,303.16,5.34,3.91,97200,N/A
2007,1,5,15,30,N/A,297.38,4.76,3.85,97220,N/A
2007,1,5,16,30,N/A,304.66,5.4,3.7600000000000002,97240,N/A
2007,1,5,17,30,N/A,308.29,5.3,3.5500000000000003,97270,N/A
2007,1,5,18,30,N/A,309.73,5.99,3.4,97310,N/A
2007,1,5,19,30,N/A,314.13,6.63,3.18,97360,N/A
2007,1,5,20,30,N/A,320.92,6.5600000000000005,3.23,97380,N/A
2007,1,5,21,30,N/A,321.52,7.0200000000000005,3.23,97350,N/A
2007,1,5,22,30,N/A,317.99,9.19,3.21,97350,N/A
2007,1,5,23,30,N/A,317.06,7.94,2.83,97370,N/A
2007,1,6,0,30,N/A,315.31,6.42,2.56,97400,N/A
2007,1,6,1,30,N/A,314.01,6.69,2.29,97420,N/A
2007,1,6,2,30,N/A,311.22,6.890000000000001,1.93,97450,N/A
2007,1,6,3,30,N/A,302.99,6.890000000000001,1.67,97500,N/A
2007,1,6,4,30,N/A,297.66,6.72,1.41,97560,N/A
2007,1,6,5,30,N/A,293.31,6.5200000000000005,1.05,97600,N/A
2007,1,6,6,30,N/A,289.21,7.97,0.66,97650,N/A
2007,1,6,7,30,N/A,286.65000000000003,8.82,0.24,97720,N/A
2007,1,6,8,30,N/A,284.62,7.57,0.05,97770,N/A
2007,1,6,9,30,N/A,282.8,8.58,0.58,97840,N/A
2007,1,6,10,30,N/A,284.88,8.98,0.99,97880,N/A
2007,1,6,11,30,N/A,284.74,8.69,1.41,97940,N/A
2007,1,6,12,30,N/A,279.84000000000003,8.4,1.78,97980,N/A
2007,1,6,13,30,N/A,277.5,8.38,2.08,98040,N/A
2007,1,6,14,30,N/A,273.75,9.23,2.2,98090,N/A
2007,1,6,15,30,N/A,271.15,7.76,2.19,98140,N/A
2007,1,6,16,30,N/A,265.31,6.57,2.02,98230,N/A
2007,1,6,17,30,N/A,260.97,7.19,1.92,98300,N/A
2007,1,6,18,30,N/A,253.51000000000002,7.0200000000000005,1.68,98350,N/A
2007,1,6,19,30,N/A,253.95000000000002,9.09,1.75,98400,N/A
2007,1,6,20,30,N/A,253.01000000000002,9.13,1.73,98430,N/A
2007,1,6,21,30,N/A,251.56,9.56,2.2,98440,N/A
2007,1,6,22,30,N/A,243.06,10.01,1.8900000000000001,98440,N/A
2007,1,6,23,30,N/A,243.87,9.69,1.68,98470,N/A
2007,1,7,0,30,N/A,235.62,8.64,1.4000000000000001,98510,N/A
2007,1,7,1,30,N/A,230.06,9.38,1.6600000000000001,98540,N/A
