SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,4,11,30,N/A,297.55,9.84,-1.34,98100,N/A
2009,1,4,12,30,N/A,293.3,10.65,-1.7,98160,N/A
2009,1,4,13,30,N/A,291.3,11.36,-2.49,98220,N/A
2009,1,4,14,30,N/A,289.37,12.43,-3.72,98330,N/A
2009,1,4,15,30,N/A,286.53000000000003,13.01,-5.18,98400,N/A
2009,1,4,16,30,N/A,287.32,14.14,-6.72,98520,N/A
2009,1,4,17,30,N/A,291.27,14.68,-8.01,98610,N/A
2009,1,4,18,30,N/A,292.62,13.52,-9.06,98700,N/A
2009,1,4,19,30,N/A,290.46,14.38,-10.46,98770,N/A
2009,1,4,20,30,N/A,289.99,13.790000000000001,-11.58,98820,N/A
2009,1,4,21,30,N/A,289.90000000000003,13.76,-12.19,98810,N/A
2009,1,4,22,30,N/A,288.15000000000003,13.6,-12.9,98820,N/A
2009,1,4,23,30,N/A,283.04,11.36,-13.38,98870,N/A
2009,1,5,0,30,N/A,281.21,10.01,-13.77,98890,N/A
2009,1,5,1,30,N/A,278.41,8.63,-14.07,98910,N/A
2009,1,5,2,30,N/A,274.81,7.98,-14.26,98900,N/A
2009,1,5,3,30,N/A,267.83,6.9,-14.39,98880,N/A
2009,1,5,4,30,N/A,259.4,5.72,-14.49,98880,N/A
2009,1,5,5,30,N/A,258.76,5.98,-14.530000000000001,98840,N/A
2009,1,5,6,30,N/A,254.41,6.73,-14.43,98810,N/A
2009,1,5,7,30,N/A,246.66,5.69,-14.27,98780,N/A
2009,1,5,8,30,N/A,247.67000000000002,5.65,-13.94,98730,N/A
2009,1,5,9,30,N/A,252.41,5.62,-11.290000000000001,98680,N/A
2009,1,5,10,30,N/A,246.44,5.75,-9.72,98600,N/A
2009,1,5,11,30,N/A,241.81,6.3100000000000005,-8.39,98520,N/A
2009,1,5,12,30,N/A,239.09,7.07,-7.140000000000001,98420,N/A
2009,1,5,13,30,N/A,237.01,7.25,-6.21,98330,N/A
2009,1,5,14,30,N/A,231.1,6.96,-5.75,98260,N/A
2009,1,5,15,30,N/A,226.88,7.88,-5.82,98180,N/A
2009,1,5,16,30,N/A,227.58,9.97,-6.33,98140,N/A
2009,1,5,17,30,N/A,231.09,12.64,-6.71,98090,N/A
2009,1,5,18,30,N/A,235.18,13.450000000000001,-6.5600000000000005,98050,N/A
2009,1,5,19,30,N/A,236.62,12.93,-6.44,98020,N/A
2009,1,5,20,30,N/A,234.18,9.200000000000001,-7.42,98000,N/A
2009,1,5,21,30,N/A,234.27,9.18,-7.3,97950,N/A
2009,1,5,22,30,N/A,231.29,9.11,-7.41,97910,N/A
2009,1,5,23,30,N/A,229.37,7.71,-8.41,97890,N/A
2009,1,6,0,30,N/A,227.98000000000002,7.26,-8.56,97880,N/A
2009,1,6,1,30,N/A,229.20000000000002,7.2700000000000005,-8.23,97850,N/A
2009,1,6,2,30,N/A,227.92000000000002,6.38,-7.95,97820,N/A
