SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,1,0,30,N/A,275.45,9.6,5.87,96990,N/A
2011,1,1,1,30,N/A,275.36,7.74,4.48,97000,N/A
2011,1,1,2,30,N/A,250.81,7.84,3.13,97070,N/A
2011,1,1,3,30,N/A,218.76,6.2,2.06,97040,N/A
2011,1,1,4,30,N/A,229.83,10.16,-0.33,97030,N/A
2011,1,1,5,30,N/A,229.17000000000002,13.85,-1.75,97000,N/A
2011,1,1,6,30,N/A,224.57,11.85,-3.06,97050,N/A
2011,1,1,7,30,N/A,221.45000000000002,13.23,-4.3100000000000005,97070,N/A
2011,1,1,8,30,N/A,229.53,13.56,-5.63,97130,N/A
2011,1,1,9,30,N/A,230.69,12.32,-5.57,97140,N/A
2011,1,1,10,30,N/A,230.92000000000002,14.34,-6,97160,N/A
2011,1,1,11,30,N/A,234.59,16.75,-7.0200000000000005,97190,N/A
2011,1,1,12,30,N/A,235.87,14.32,-8,97300,N/A
2011,1,1,13,30,N/A,239.20000000000002,14.5,-8.620000000000001,97370,N/A
2011,1,1,14,30,N/A,241.78,15.780000000000001,-9.16,97410,N/A
2011,1,1,15,30,N/A,244.44,14.05,-9.31,97540,N/A
2011,1,1,16,30,N/A,245.51,13.64,-9.71,97620,N/A
2011,1,1,17,30,N/A,247.19,12.450000000000001,-10.1,97720,N/A
2011,1,1,18,30,N/A,249.3,12.98,-10.41,97800,N/A
2011,1,1,19,30,N/A,248.91,12.450000000000001,-10.81,97880,N/A
2011,1,1,20,30,N/A,250.46,12.41,-11.22,97940,N/A
2011,1,1,21,30,N/A,252.52,12,-11.67,97980,N/A
2011,1,1,22,30,N/A,254.58,10.74,-11.93,98010,N/A
2011,1,1,23,30,N/A,256.01,10.83,-12.08,98070,N/A
2011,1,2,0,30,N/A,258.43,10.19,-12.18,98130,N/A
2011,1,2,1,30,N/A,259.95,9.82,-12.23,98170,N/A
2011,1,2,2,30,N/A,257.81,9.34,-12.25,98210,N/A
2011,1,2,3,30,N/A,259.34000000000003,9.4,-12.14,98250,N/A
2011,1,2,4,30,N/A,259.54,9.52,-11.84,98310,N/A
2011,1,2,5,30,N/A,258.26,9.47,-11.78,98330,N/A
2011,1,2,6,30,N/A,253.11,9.78,-11.88,98370,N/A
2011,1,2,7,30,N/A,251.54,9.82,-11.94,98390,N/A
2011,1,2,8,30,N/A,253.72,9.85,-11.71,98410,N/A
2011,1,2,9,30,N/A,253.72,8.47,-11.01,98430,N/A
2011,1,2,10,30,N/A,253.56,8.53,-10.09,98420,N/A
2011,1,2,11,30,N/A,247.95000000000002,8.57,-9.11,98420,N/A
2011,1,2,12,30,N/A,244.14000000000001,8.51,-8.24,98420,N/A
2011,1,2,13,30,N/A,239.71,8.59,-7.65,98410,N/A
2011,1,2,14,30,N/A,240.20000000000002,8.84,-7.34,98410,N/A
2011,1,2,15,30,N/A,237.95000000000002,8.3,-7.28,98410,N/A
2011,1,2,16,30,N/A,227.24,8,-7.48,98430,N/A
2011,1,2,17,30,N/A,223.32,8.790000000000001,-7.66,98440,N/A
2011,1,2,18,30,N/A,222.6,8.57,-7.91,98450,N/A
2011,1,2,19,30,N/A,224.52,8.73,-7.98,98460,N/A
2011,1,2,20,30,N/A,225.75,9.26,-7.8500000000000005,98440,N/A
2011,1,2,21,30,N/A,223.46,8.39,-7.63,98410,N/A
2011,1,2,22,30,N/A,216.42000000000002,7.37,-7.43,98360,N/A
2011,1,2,23,30,N/A,213.71,6.58,-7.3,98350,N/A
2011,1,3,0,30,N/A,221.75,5.79,-7.04,98330,N/A
2011,1,3,1,30,N/A,223.83,5.2,-6.8,98320,N/A
2011,1,3,2,30,N/A,222.24,4.42,-6.68,98320,N/A
2011,1,3,3,30,N/A,222.1,3.9,-6.57,98300,N/A
2011,1,3,4,30,N/A,224.89000000000001,3.89,-6.44,98290,N/A
2011,1,3,5,30,N/A,227.94,3.77,-6.34,98270,N/A
2011,1,3,6,30,N/A,229.65,4.3500000000000005,-6.38,98270,N/A
2011,1,3,7,30,N/A,241.14000000000001,4.32,-6.36,98280,N/A
2011,1,3,8,30,N/A,246.74,4.15,-6.3100000000000005,98270,N/A
2011,1,3,9,30,N/A,250.97,3.91,-5.78,98260,N/A
2011,1,3,10,30,N/A,256.56,4.26,-4.87,98230,N/A
2011,1,3,11,30,N/A,259.38,4.28,-4.01,98220,N/A
2011,1,3,12,30,N/A,256.63,4.5,-3.52,98190,N/A
2011,1,3,13,30,N/A,248.28,4.3500000000000005,-3.06,98170,N/A
2011,1,3,14,30,N/A,249.5,5.16,-2.7,98140,N/A
2011,1,3,15,30,N/A,248.77,5.15,-2.62,98110,N/A
2011,1,3,16,30,N/A,241.5,5.08,-2.63,98100,N/A
2011,1,3,17,30,N/A,238.36,4.97,-2.61,98080,N/A
2011,1,3,18,30,N/A,230.91,4.38,-2.68,98060,N/A
2011,1,3,19,30,N/A,223.98000000000002,4.49,-3,98040,N/A
2011,1,3,20,30,N/A,226.31,4.53,-3.2600000000000002,98000,N/A
2011,1,3,21,30,N/A,232.88,4.13,-3.25,97940,N/A
