SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2010,1,1,0,30,N/A,317.67,9.92,-9.43,98630,N/A
2010,1,1,1,30,N/A,313.54,9.25,-9.82,98670,N/A
2010,1,1,2,30,N/A,315.83,9.92,-9.700000000000001,98710,N/A
2010,1,1,3,30,N/A,312.6,9.59,-10.200000000000001,98750,N/A
2010,1,1,4,30,N/A,314.24,10.25,-10.26,98800,N/A
2010,1,1,5,30,N/A,315.67,10.55,-10.47,98840,N/A
2010,1,1,6,30,N/A,319.27,9.16,-10.41,98900,N/A
2010,1,1,7,30,N/A,326.17,8.73,-9.870000000000001,98930,N/A
2010,1,1,8,30,N/A,324.53000000000003,8.35,-10.06,98960,N/A
2010,1,1,9,30,N/A,330.59000000000003,9.03,-9.6,98980,N/A
2010,1,1,10,30,N/A,333.1,9.32,-8.94,99000,N/A
2010,1,1,11,30,N/A,334.6,9.16,-8.370000000000001,99020,N/A
2010,1,1,12,30,N/A,332.45,8.65,-8.03,99040,N/A
2010,1,1,13,30,N/A,331.24,8.67,-7.82,99060,N/A
2010,1,1,14,30,N/A,330.26,8.85,-7.82,99090,N/A
2010,1,1,15,30,N/A,328.69,9.78,-8.05,99110,N/A
2010,1,1,16,30,N/A,320.05,8.25,-8.42,99140,N/A
2010,1,1,17,30,N/A,322.1,8.53,-8.86,99160,N/A
2010,1,1,18,30,N/A,320.67,9.200000000000001,-9.27,99180,N/A
2010,1,1,19,30,N/A,327.38,10.71,-9.870000000000001,99210,N/A
2010,1,1,20,30,N/A,330.87,10.64,-10.67,99230,N/A
2010,1,1,21,30,N/A,332.15000000000003,9.75,-11.55,99240,N/A
2010,1,1,22,30,N/A,331.12,9.88,-12.43,99240,N/A
2010,1,1,23,30,N/A,329.65000000000003,8.92,-13.08,99280,N/A
2010,1,2,0,30,N/A,330.37,9.290000000000001,-13.8,99310,N/A
2010,1,2,1,30,N/A,326.74,10.370000000000001,-14.39,99340,N/A
2010,1,2,2,30,N/A,324.04,10.75,-14.88,99370,N/A
2010,1,2,3,30,N/A,321.49,10.13,-15.26,99390,N/A
2010,1,2,4,30,N/A,322.11,10.950000000000001,-15.52,99410,N/A
2010,1,2,5,30,N/A,320.17,11.11,-15.74,99440,N/A
2010,1,2,6,30,N/A,317.28000000000003,10.27,-15.94,99480,N/A
2010,1,2,7,30,N/A,320.69,10.5,-16.1,99490,N/A
2010,1,2,8,30,N/A,321.64,9.92,-16.01,99510,N/A
2010,1,2,9,30,N/A,326.07,9.84,-15.63,99510,N/A
2010,1,2,10,30,N/A,332.32,9.64,-14.96,99500,N/A
2010,1,2,11,30,N/A,333.31,8.76,-14.370000000000001,99480,N/A
2010,1,2,12,30,N/A,332.75,8.51,-13.82,99460,N/A
2010,1,2,13,30,N/A,333.74,8.040000000000001,-13.44,99450,N/A
2010,1,2,14,30,N/A,333.31,8.18,-13.16,99460,N/A
2010,1,2,15,30,N/A,333.75,7.88,-13.08,99480,N/A
2010,1,2,16,30,N/A,331.63,6.57,-13.35,99520,N/A
2010,1,2,17,30,N/A,327.59000000000003,9.02,-13.69,99530,N/A
2010,1,2,18,30,N/A,334.88,8.96,-13.88,99550,N/A
2010,1,2,19,30,N/A,337.25,9.540000000000001,-14.1,99580,N/A
2010,1,2,20,30,N/A,335.07,8.74,-14.4,99580,N/A
2010,1,2,21,30,N/A,339.28000000000003,9.52,-14.870000000000001,99560,N/A
2010,1,2,22,30,N/A,332.69,9.82,-15.040000000000001,99540,N/A
2010,1,2,23,30,N/A,335.09000000000003,10.13,-15.24,99540,N/A
2010,1,3,0,30,N/A,335.26,10.19,-15.33,99540,N/A
2010,1,3,1,30,N/A,334.54,10.25,-15.33,99550,N/A
2010,1,3,2,30,N/A,334.79,10.41,-15.200000000000001,99560,N/A
2010,1,3,3,30,N/A,335.15000000000003,10.65,-15.07,99560,N/A
2010,1,3,4,30,N/A,334.01,11.05,-14.89,99550,N/A
2010,1,3,5,30,N/A,335.01,11.63,-14.67,99540,N/A
2010,1,3,6,30,N/A,336.02,11.700000000000001,-14.41,99550,N/A
2010,1,3,7,30,N/A,335.15000000000003,11.63,-14.24,99560,N/A
2010,1,3,8,30,N/A,338.87,11,-13.5,99570,N/A
2010,1,3,9,30,N/A,334.56,8.870000000000001,-12.69,99560,N/A
2010,1,3,10,30,N/A,334.18,8.1,-11.42,99560,N/A
2010,1,3,11,30,N/A,333.6,8.99,-10.27,99540,N/A
2010,1,3,12,30,N/A,335.45,9.06,-9.47,99510,N/A
2010,1,3,13,30,N/A,333.61,9.370000000000001,-8.950000000000001,99490,N/A
2010,1,3,14,30,N/A,328.47,9.06,-8.75,99460,N/A
2010,1,3,15,30,N/A,325.78000000000003,8.88,-8.92,99450,N/A
2010,1,3,16,30,N/A,323.67,9.6,-9.38,99460,N/A
2010,1,3,17,30,N/A,325.05,10.790000000000001,-9.76,99440,N/A
2010,1,3,18,30,N/A,326.61,11.76,-9.98,99420,N/A
2010,1,3,19,30,N/A,328.33,11.58,-10.48,99400,N/A
2010,1,3,20,30,N/A,333.57,11.32,-10.83,99370,N/A
2010,1,3,21,30,N/A,334.53000000000003,11.67,-11.18,99330,N/A
2010,1,3,22,30,N/A,336.58,11.200000000000001,-11.02,99280,N/A
2010,1,3,23,30,N/A,335.48,11.05,-10.82,99250,N/A
2010,1,4,0,30,N/A,334.43,11.06,-10.67,99220,N/A
2010,1,4,1,30,N/A,332.19,10.94,-10.6,99200,N/A
