SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2012,1,1,0,30,N/A,167.72,11.94,3.39,97040,N/A
2012,1,1,1,30,N/A,170.51,10.66,3.34,96930,N/A
2012,1,1,2,30,N/A,172.46,8.790000000000001,3.34,96860,N/A
2012,1,1,3,30,N/A,177.97,8.33,3.38,96770,N/A
2012,1,1,4,30,N/A,198.59,7.8500000000000005,3.14,96720,N/A
2012,1,1,5,30,N/A,281.88,6.65,0.96,96700,N/A
2012,1,1,6,30,N/A,303.93,11.6,0.72,96700,N/A
2012,1,1,7,30,N/A,313.06,13.89,0.29,96780,N/A
2012,1,1,8,30,N/A,310.31,14.47,0.27,96870,N/A
2012,1,1,9,30,N/A,304.53000000000003,15.08,-0.1,96970,N/A
2012,1,1,10,30,N/A,303.84000000000003,16.26,-0.49,97050,N/A
2012,1,1,11,30,N/A,298.26,15.83,-1.06,97160,N/A
2012,1,1,12,30,N/A,295.67,16.13,-1.45,97250,N/A
2012,1,1,13,30,N/A,292.99,16.21,-1.68,97340,N/A
2012,1,1,14,30,N/A,291.55,16.21,-2.11,97450,N/A
2012,1,1,15,30,N/A,293.07,15.73,-2.48,97560,N/A
2012,1,1,16,30,N/A,291.90000000000003,14.91,-3.0100000000000002,97710,N/A
2012,1,1,17,30,N/A,293.73,15.19,-3.18,97770,N/A
2012,1,1,18,30,N/A,293.77,14.4,-3.29,97840,N/A
2012,1,1,19,30,N/A,296.21,14.950000000000001,-3.56,97880,N/A
2012,1,1,20,30,N/A,300.67,16.62,-4.01,97920,N/A
2012,1,1,21,30,N/A,305.45,16.59,-4.51,97930,N/A
2012,1,1,22,30,N/A,303.93,15.540000000000001,-5.22,97930,N/A
2012,1,1,23,30,N/A,304.03000000000003,15.59,-5.84,97970,N/A
2012,1,2,0,30,N/A,304.23,14.8,-6.45,98030,N/A
2012,1,2,1,30,N/A,303.07,13.71,-6.95,98090,N/A
2012,1,2,2,30,N/A,305.24,14.42,-7.42,98130,N/A
2012,1,2,3,30,N/A,304.92,14.13,-7.7700000000000005,98150,N/A
2012,1,2,4,30,N/A,305.86,14.3,-8.13,98210,N/A
2012,1,2,5,30,N/A,306.39,13.38,-8.46,98260,N/A
2012,1,2,6,30,N/A,306.04,13.14,-8.700000000000001,98310,N/A
2012,1,2,7,30,N/A,307.7,12.74,-9,98370,N/A
2012,1,2,8,30,N/A,308.11,13.530000000000001,-9.200000000000001,98430,N/A
2012,1,2,9,30,N/A,310.66,13.450000000000001,-8.91,98490,N/A
2012,1,2,10,30,N/A,323.43,13.32,-8.22,98560,N/A
2012,1,2,11,30,N/A,321.04,12.41,-7.94,98650,N/A
2012,1,2,12,30,N/A,321.82,12.88,-7.82,98710,N/A
2012,1,2,13,30,N/A,318.34000000000003,12.950000000000001,-7.4,98780,N/A
2012,1,2,14,30,N/A,324.61,12.46,-7.24,98840,N/A
2012,1,2,15,30,N/A,326.58,12.25,-7.46,98920,N/A
2012,1,2,16,30,N/A,321.84000000000003,12.8,-8.13,99020,N/A
2012,1,2,17,30,N/A,327.47,14.280000000000001,-8.78,99090,N/A
2012,1,2,18,30,N/A,331.14,14.44,-9.450000000000001,99190,N/A
2012,1,2,19,30,N/A,327.13,11.370000000000001,-10.09,99260,N/A
2012,1,2,20,30,N/A,330.09000000000003,14.27,-10.81,99280,N/A
