SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2008,1,1,0,30,N/A,332.28000000000003,8.26,-3.02,97840,N/A
2008,1,1,1,30,N/A,335.96,8.49,-3.22,97880,N/A
2008,1,1,2,30,N/A,332.64,8.81,-3.46,97930,N/A
2008,1,1,3,30,N/A,334.01,10.11,-3.93,97970,N/A
2008,1,1,4,30,N/A,330.07,10.01,-4.46,98050,N/A
2008,1,1,5,30,N/A,329.78000000000003,10.64,-5.33,98110,N/A
2008,1,1,6,30,N/A,325.57,10.42,-5.89,98190,N/A
2008,1,1,7,30,N/A,323.31,10.17,-6.26,98260,N/A
2008,1,1,8,30,N/A,321.13,10.34,-6.72,98320,N/A
2008,1,1,9,30,N/A,316.99,10.36,-6.84,98370,N/A
2008,1,1,10,30,N/A,315.05,10.33,-6.63,98410,N/A
2008,1,1,11,30,N/A,314.2,10.34,-6.45,98470,N/A
2008,1,1,12,30,N/A,310.54,10.42,-6.26,98510,N/A
2008,1,1,13,30,N/A,309.33,10.49,-6.17,98570,N/A
2008,1,1,14,30,N/A,308.75,10.75,-6.25,98640,N/A
2008,1,1,15,30,N/A,307.86,11.35,-6.65,98710,N/A
2008,1,1,16,30,N/A,308.07,11.28,-7.23,98800,N/A
2008,1,1,17,30,N/A,308.17,12.05,-7.83,98870,N/A
2008,1,1,18,30,N/A,309.14,12.780000000000001,-8.3,98920,N/A
2008,1,1,19,30,N/A,308.79,12.91,-8.790000000000001,98990,N/A
2008,1,1,20,30,N/A,308.28000000000003,13.370000000000001,-9.22,99010,N/A
2008,1,1,21,30,N/A,307.18,13.370000000000001,-9.52,99010,N/A
2008,1,1,22,30,N/A,308.73,12.88,-9.61,99020,N/A
2008,1,1,23,30,N/A,308.65000000000003,13.07,-9.57,99050,N/A
2008,1,2,0,30,N/A,308.18,13.23,-9.44,99080,N/A
2008,1,2,1,30,N/A,309.59000000000003,13.69,-9.22,99140,N/A
2008,1,2,2,30,N/A,312.33,13.16,-8.96,99220,N/A
2008,1,2,3,30,N/A,314.64,12.86,-8.76,99290,N/A
2008,1,2,4,30,N/A,327.16,12.44,-8.25,99400,N/A
2008,1,2,5,30,N/A,331.3,11.53,-7.98,99510,N/A
2008,1,2,6,30,N/A,330.34000000000003,11.96,-8.2,99620,N/A
2008,1,2,7,30,N/A,330.90000000000003,12.1,-8.43,99740,N/A
2008,1,2,8,30,N/A,330.74,11.540000000000001,-8.42,99830,N/A
2008,1,2,9,30,N/A,330.48,9.96,-7.8100000000000005,99900,N/A
2008,1,2,10,30,N/A,331.8,9.44,-7.01,99950,N/A
2008,1,2,11,30,N/A,331.84000000000003,8.58,-6.51,100010,N/A
2008,1,2,12,30,N/A,327.68,8.23,-6.11,100050,N/A
2008,1,2,13,30,N/A,321.14,7.8500000000000005,-5.95,100090,N/A
2008,1,2,14,30,N/A,318.23,7.72,-6,100100,N/A
2008,1,2,15,30,N/A,314.15000000000003,8,-6.37,100130,N/A
